soort,stratum,gewicht,aanwezig,relevant,onderzocht,totaal,bezoeken
Aalscholver,Heide en duin,0.041,16.9,8,94,199,291
Aalscholver,Landbouw,0.803,292.9,20,431,6311,706
Aalscholver,Moeras en water,0.132,48,28,80,137,1399
Aalscholver,Suburbaan,0.024,11.8,4,68,201,141
Bergeend,Bos,0.005,6.7,4,191,319,149
Bergeend,Heide en duin,0.019,21.2,10,94,199,513
Bergeend,Landbouw,0.906,907.8,62,431,6311,2998
Bergeend,Moeras en water,0.046,46.2,27,80,137,1018
Bergeend,Suburbaan,0.024,26.6,9,68,201,306
Blauwborst,Heide en duin,0.02,19.1,9,94,199,279
Blauwborst,Landbouw,0.934,790.7,54,431,6311,2318
Blauwborst,Moeras en water,0.032,27.4,16,80,137,757
Blauwborst,Suburbaan,0.014,14.8,5,68,201,135
Blauwe reiger,Bos,0.017,21.7,13,191,319,650
Blauwe reiger,Heide en duin,0.028,36,17,94,199,517
Blauwe reiger,Landbouw,0.91,1171.4,80,431,6311,3476
Blauwe reiger,Moeras en water,0.036,46.2,27,80,137,1439
Blauwe reiger,Suburbaan,0.009,14.8,5,68,201,167
Boerenzwaluw,Bos,0.006,25.1,15,191,319,347
Boerenzwaluw,Heide en duin,0.012,55,26,94,199,765
Boerenzwaluw,Landbouw,0.95,4290.3,293,431,6311,10909
Boerenzwaluw,Moeras en water,0.01,46.2,27,80,137,767
Boerenzwaluw,Suburbaan,0.009,41.4,14,68,201,219
Boerenzwaluw,Urbaan,0.014,62.2,13,87,416,372
Bonte vliegenvanger,Bos,0.634,36.7,22,191,319,507
Bonte vliegenvanger,Heide en duin,0.366,21.2,10,94,199,423
Boomklever,Bos,0.198,215.5,129,191,319,7679
Boomklever,Heide en duin,0.068,74.1,35,94,199,1874
Boomklever,Landbouw,0.578,629.6,43,431,6311,1683
Boomklever,Moeras en water,0.033,36,21,80,137,952
Boomklever,Suburbaan,0.049,53.2,18,68,201,768
Boomklever,Urbaan,0.075,81.3,17,87,416,499
Boomkruiper,Bos,0.109,215.5,129,191,319,8138
Boomkruiper,Heide en duin,0.054,105.9,50,94,199,2717
Boomkruiper,Landbouw,0.719,1420.3,97,431,6311,4181
Boomkruiper,Moeras en water,0.024,48,28,80,137,1660
Boomkruiper,Suburbaan,0.031,62.1,21,68,201,909
Boomkruiper,Urbaan,0.063,124.3,26,87,416,860
Boomleeuwerik,Bos,0.249,48.4,29,191,319,1657
Boomleeuwerik,Heide en duin,0.49,95.3,45,94,199,2429
Boomleeuwerik,Landbouw,0.226,58.6,4,431,6311,63
Boomleeuwerik,Moeras en water,0.035,8.6,5,80,137,162
Boompieper,Bos,0.256,100.2,60,191,319,3196
Boompieper,Heide en duin,0.303,118.6,56,94,199,3467
Boompieper,Landbouw,0.411,175.7,12,431,6311,503
Boompieper,Moeras en water,0.031,12,7,80,137,345
Bosrietzanger,Heide en duin,0.014,10.6,5,94,199,102
Bosrietzanger,Landbouw,0.878,527.1,36,431,6311,864
Bosrietzanger,Moeras en water,0.068,41.1,24,80,137,718
Bosrietzanger,Suburbaan,0.039,23.6,8,68,201,165
Bruine kiekendief,Landbouw,0.975,395.4,27,431,6311,1268
Bruine kiekendief,Moeras en water,0.025,12,7,80,137,270
Buizerd,Bos,0.056,190.4,114,191,319,5810
Buizerd,Heide en duin,0.027,93.1,44,94,199,2072
Buizerd,Landbouw,0.89,3045.7,208,431,6311,10277
Buizerd,Moeras en water,0.015,51.4,30,80,137,1339
Buizerd,Suburbaan,0.008,29.6,10,68,201,241
Buizerd,Urbaan,0.004,19.1,4,87,416,123
Canadese gans,Bos,0.018,31.7,19,191,319,784
Canadese gans,Heide en duin,0.034,61.4,29,94,199,1363
Canadese gans,Landbouw,0.87,1552.1,106,431,6311,5273
Canadese gans,Moeras en water,0.04,71.9,42,80,137,2164
Canadese gans,Suburbaan,0.018,32.5,11,68,201,509
Canadese gans,Urbaan,0.019,38.3,8,87,416,150
Cetti's zanger,Heide en duin,0.075,14.8,7,94,199,148
Cetti's zanger,Landbouw,0.782,146.4,10,431,6311,420
Cetti's zanger,Moeras en water,0.142,24,14,80,137,596
Dodaars,Bos,0.093,15,9,191,319,273
Dodaars,Heide en duin,0.192,27.5,13,94,199,453
Dodaars,Landbouw,0.511,87.9,6,431,6311,110
Dodaars,Moeras en water,0.203,29.1,17,80,137,623
Ekster,Bos,0.013,68.5,41,191,319,2135
Ekster,Heide en duin,0.015,78.3,37,94,199,1704
Ekster,Landbouw,0.858,4568.5,312,431,6311,18998
Ekster,Moeras en water,0.018,94.2,55,80,137,3036
Ekster,Suburbaan,0.032,168.5,57,68,201,3448
Ekster,Urbaan,0.065,344.3,72,87,416,4902
Fazant,Bos,0.015,68.5,41,191,319,2440
Fazant,Heide en duin,0.017,80.4,38,94,199,2060
Fazant,Landbouw,0.932,4319.6,295,431,6311,18275
Fazant,Moeras en water,0.015,68.5,40,80,137,2368
Fazant,Suburbaan,0.011,50.2,17,68,201,720
Fazant,Urbaan,0.01,52.6,11,87,416,336
Fitis,Bos,0.157,111.9,67,191,319,3670
Fitis,Heide en duin,0.228,163,77,94,199,4431
Fitis,Landbouw,0.492,351.4,24,431,6311,1054
Fitis,Moeras en water,0.065,46.2,27,80,137,1737
Fitis,Suburbaan,0.058,41.4,14,68,201,410
Fuut,Bos,0.049,11.7,7,191,319,157
Fuut,Heide en duin,0.104,21.2,10,94,199,217
Fuut,Landbouw,0.503,102.5,7,431,6311,217
Fuut,Moeras en water,0.344,70.2,41,80,137,1790
Gaai,Bos,0.063,232.2,139,191,319,8408
Gaai,Heide en duin,0.036,131.3,62,94,199,3347
Gaai,Landbouw,0.801,2957.8,202,431,6311,9672
Gaai,Moeras en water,0.021,77.1,45,80,137,2475
Gaai,Suburbaan,0.023,85.7,29,68,201,1333
Gaai,Urbaan,0.057,210.4,44,87,416,1947
Geelgors,Bos,0.007,8.4,5,191,319,272
Geelgors,Heide en duin,0.018,16.9,8,94,199,410
Geelgors,Landbouw,0.967,893.2,61,431,6311,2984
Geelgors,Moeras en water,0.007,6.8,4,80,137,127
Gekraagde roodstaart,Bos,0.179,51.8,31,191,319,1136
Gekraagde roodstaart,Heide en duin,0.292,84.7,40,94,199,1350
Gekraagde roodstaart,Landbouw,0.505,161.1,11,431,6311,348
Gekraagde roodstaart,Moeras en water,0.024,8.6,5,80,137,151
Gele kwikstaart,Landbouw,0.995,2738.2,187,431,6311,9251
Gele kwikstaart,Moeras en water,0.005,15.4,9,80,137,350
Gierzwaluw,Bos,0.01,11.7,7,191,319,151
Gierzwaluw,Heide en duin,0.032,31.8,15,94,199,388
Gierzwaluw,Landbouw,0.585,585.7,40,431,6311,920
Gierzwaluw,Moeras en water,0.038,37.7,22,80,137,644
Gierzwaluw,Suburbaan,0.059,62.1,21,68,201,759
Gierzwaluw,Urbaan,0.277,277.3,58,87,416,2189
Glanskop,Bos,0.381,45.1,27,191,319,1430
Glanskop,Landbouw,0.619,87.9,6,431,6311,315
Goudhaan,Bos,0.176,162,97,191,319,5397
Goudhaan,Heide en duin,0.069,63.5,30,94,199,1345
Goudhaan,Landbouw,0.588,541.8,37,431,6311,1137
Goudhaan,Moeras en water,0.026,24,14,80,137,469
Goudhaan,Suburbaan,0.048,44.3,15,68,201,749
Goudhaan,Urbaan,0.093,86.1,18,87,416,869
Grasmus,Bos,0.008,30.1,18,191,319,518
Grasmus,Heide en duin,0.021,76.2,36,94,199,1097
Grasmus,Landbouw,0.93,3367.8,230,431,6311,7982
Grasmus,Moeras en water,0.018,66.8,39,80,137,1453
Grasmus,Suburbaan,0.013,47.3,16,68,201,453
Grasmus,Urbaan,0.009,38.3,8,87,416,121
Graspieper,Heide en duin,0.046,86.8,41,94,199,1672
Graspieper,Landbouw,0.938,1757.1,120,431,6311,5692
Graspieper,Moeras en water,0.007,13.7,8,80,137,303
Graspieper,Suburbaan,0.008,17.7,6,68,201,108
Grauwe gans,Bos,0.026,18.4,11,191,319,407
Grauwe gans,Heide en duin,0.044,27.5,13,94,199,585
Grauwe gans,Landbouw,0.859,541.8,37,431,6311,1749
Grauwe gans,Moeras en water,0.071,44.5,26,80,137,1246
Groene specht,Bos,0.033,143.6,86,191,319,4870
Groene specht,Heide en duin,0.022,95.3,45,94,199,2470
Groene specht,Landbouw,0.868,3748.5,256,431,6311,14988
Groene specht,Moeras en water,0.017,71.9,42,80,137,2150
Groene specht,Suburbaan,0.023,100.5,34,68,201,1539
Groene specht,Urbaan,0.037,157.8,33,87,416,1457
Groenling,Bos,0.017,63.5,38,191,319,1395
Groenling,Heide en duin,0.011,40.2,19,94,199,747
Groenling,Landbouw,0.858,3250.7,222,431,6311,10811
Groenling,Moeras en water,0.012,44.5,26,80,137,1165
Groenling,Suburbaan,0.028,106.4,36,68,201,2313
Groenling,Urbaan,0.074,282.1,59,87,416,3304
Grote bonte specht,Bos,0.063,243.8,146,191,319,9580
Grote bonte specht,Heide en duin,0.037,144,68,94,199,4184
Grote bonte specht,Landbouw,0.812,3118.9,213,431,6311,10649
Grote bonte specht,Moeras en water,0.021,80.5,47,80,137,2647
Grote bonte specht,Suburbaan,0.019,73.9,25,68,201,1331
Grote bonte specht,Urbaan,0.047,181.7,38,87,416,1793
Grote lijster,Bos,0.068,91.9,55,191,319,2796
Grote lijster,Heide en duin,0.055,74.1,35,94,199,1685
Grote lijster,Landbouw,0.862,1171.4,80,431,6311,3316
Grote lijster,Moeras en water,0.009,12,7,80,137,303
Grote lijster,Suburbaan,0.007,11.8,4,68,201,55
Grutto,Landbouw,0.988,424.6,29,431,6311,1502
Grutto,Moeras en water,0.012,6.8,4,80,137,82
Halsbandparkiet,Bos,0.054,11.7,7,191,319,220
Halsbandparkiet,Landbouw,0.555,117.1,8,431,6311,278
Halsbandparkiet,Moeras en water,0.056,12,7,80,137,214
Halsbandparkiet,Suburbaan,0.128,26.6,9,68,201,571
Halsbandparkiet,Urbaan,0.207,38.3,8,87,416,395
Havik,Bos,0.435,55.1,33,191,319,1195
Havik,Heide en duin,0.217,27.5,13,94,199,646
Havik,Landbouw,0.347,58.6,4,431,6311,124
Heggenmus,Bos,0.019,100.2,60,191,319,2819
Heggenmus,Heide en duin,0.017,88.9,42,94,199,2101
Heggenmus,Landbouw,0.857,4539.2,310,431,6311,18128
Heggenmus,Moeras en water,0.016,83.9,49,80,137,2534
Heggenmus,Suburbaan,0.028,150.8,51,68,201,3271
Heggenmus,Urbaan,0.063,334.7,70,87,416,4508
Holenduif,Bos,0.032,135.3,81,191,319,4819
Holenduif,Heide en duin,0.014,61.4,29,94,199,1664
Holenduif,Landbouw,0.893,3792.5,259,431,6311,15754
Holenduif,Moeras en water,0.015,65.1,38,80,137,1725
Holenduif,Suburbaan,0.021,88.7,30,68,201,1128
Holenduif,Urbaan,0.025,105.2,22,87,416,752
Houtduif,Bos,0.04,248.9,149,191,319,9887
Houtduif,Heide en duin,0.028,173.6,82,94,199,5239
Houtduif,Landbouw,0.832,5168.9,353,431,6311,24484
Houtduif,Moeras en water,0.017,106.2,62,80,137,4192
Houtduif,Suburbaan,0.027,168.5,57,68,201,3648
Houtduif,Urbaan,0.055,344.3,72,87,416,5028
Huismus,Bos,0.004,20,12,191,319,317
Huismus,Heide en duin,0.008,40.2,19,94,199,772
Huismus,Landbouw,0.889,4466,305,431,6311,15936
Huismus,Moeras en water,0.009,42.8,25,80,137,951
Huismus,Suburbaan,0.022,112.3,38,68,201,2134
Huismus,Urbaan,0.068,339.5,71,87,416,4418
Huiszwaluw,Bos,0.006,6.7,4,191,319,69
Huiszwaluw,Heide en duin,0.008,8.5,4,94,199,102
Huiszwaluw,Landbouw,0.933,761.4,52,431,6311,1314
Huiszwaluw,Moeras en water,0.013,12,7,80,137,180
Huiszwaluw,Suburbaan,0.011,11.8,4,68,201,72
Huiszwaluw,Urbaan,0.029,28.7,6,87,416,167
Kauw,Bos,0.018,98.5,59,191,319,3050
Kauw,Heide en duin,0.018,95.3,45,94,199,2449
Kauw,Landbouw,0.864,4671,319,431,6311,20786
Kauw,Moeras en water,0.014,77.1,45,80,137,2308
Kauw,Suburbaan,0.025,136,46,68,201,2912
Kauw,Urbaan,0.061,329.9,69,87,416,4758
Kievit,Bos,0.006,30.1,18,191,319,482
Kievit,Heide en duin,0.007,33.9,16,94,199,820
Kievit,Landbouw,0.966,4509.9,308,431,6311,17427
Kievit,Moeras en water,0.01,44.5,26,80,137,1303
Kievit,Suburbaan,0.004,23.6,8,68,201,279
Kievit,Urbaan,0.006,33.5,7,87,416,129
