indicator,soort,ondergrens,bovengrens
Bos,Bonte vliegenvanger,0.9441,1.0592
Bos,Boomklever,0.9441,1.0592
Bos,Boomkruiper,0.9441,1.0592
Bos,Boompieper,0.9441,1.0592
Bos,Buizerd,0.9441,1.0592
Bos,Fitis,0.9441,1.0592
Bos,Gaai,0.9441,1.0592
Bos,Gekraagde roodstaart,0.9441,1.0592
Bos,Goudhaan,0.9441,1.0592
Bos,Groene specht,0.9441,1.0592
Bos,Groenling,0.9441,1.0592
Bos,Grote bonte specht,0.9441,1.0592
Bos,Grote lijster,0.9441,1.0592
Bos,Holenduif,0.9441,1.0592
Bos,Koekoek,0.9441,1.0592
Bos,Kuifmees,0.9441,1.0592
Bos,Matkop,0.9441,1.0592
Bos,Nachtegaal,0.9441,1.0592
Bos,Sperwer,0.9441,1.0592
Bos,Tjiftjaf,0.9441,1.0592
Bos,Tuinfluiter,0.9441,1.0592
Bos,Wielewaal,0.9441,1.0592
Bos,Zwarte mees,0.9441,1.0592
Bos,Zwarte specht,0.9441,1.0592
Bos,Zwartkop,0.9441,1.0592
Generalist,Ekster,0.9361,1.0682
Generalist,Fazant,0.9361,1.0682
Generalist,Groenling,0.9361,1.0682
Generalist,Grote bonte specht,0.9361,1.0682
Generalist,Heggenmus,0.9361,1.0682
Generalist,Houtduif,0.9361,1.0682
Generalist,Huismus,0.9361,1.0682
Generalist,Kauw,0.9361,1.0682
Generalist,Koolmees,0.9361,1.0682
Generalist,Merel,0.9361,1.0682
Generalist,Pimpelmees,0.9361,1.0682
Generalist,Roodborst,0.9361,1.0682
Generalist,Spreeuw,0.9361,1.0682
Generalist,Staartmees,0.9361,1.0682
Generalist,Turkse tortel,0.9361,1.0682
Generalist,Vink,0.9361,1.0682
Generalist,Winterkoning,0.9361,1.0682
Generalist,Zanglijster,0.9361,1.0682
Generalist,Zwarte kraai,0.9361,1.0682
Landbouw,Boerenzwaluw,0.9284,1.0771
Landbouw,Geelgors,0.9284,1.0771
Landbouw,Gele kwikstaart,0.9284,1.0771
Landbouw,Grasmus,0.9284,1.0771
Landbouw,Graspieper,0.9284,1.0771
Landbouw,Grutto,0.9284,1.0771
Landbouw,Kievit,0.9284,1.0771
Landbouw,Kneu,0.9284,1.0771
Landbouw,Patrijs,0.9284,1.0771
Landbouw,Ringmus,0.9284,1.0771
Landbouw,Roodborsttapuit,0.9284,1.0771
Landbouw,Scholekster,0.9284,1.0771
Landbouw,Torenvalk,0.9284,1.0771
Landbouw,Veldleeuwerik,0.9284,1.0771
Landbouw,Wulp,0.9284,1.0771
NARA2020,Boerenzwaluw,0.9635,1.0378
NARA2020,Bonte vliegenvanger,0.9635,1.0378
