indicator,frequentie,referentie,naar,schatting,lcl,ucl,klasse,wijziging,analyse,status
Bos,driejaarlijks,2007,2010,1.0264,0.9961,1.0578,~,+2.6% (-0.4%; +5.8%),a8c35af09973b4fb822f3bc8d98a9e50e385ccb5,a8b38773eb7820ae284f0e5b2a993032d668ee3d
Bos,driejaarlijks,2007,2013,1.0036,0.9684,1.0401,~,+0.4% (-3.2%; +4.0%),a8c35af09973b4fb822f3bc8d98a9e50e385ccb5,a8b38773eb7820ae284f0e5b2a993032d668ee3d
Bos,driejaarlijks,2007,2016,0.9658,0.9292,1.0037,~,-3.4% (-7.1%; +0.4%),a8c35af09973b4fb822f3bc8d98a9e50e385ccb5,a8b38773eb7820ae284f0e5b2a993032d668ee3d
Bos,driejaarlijks,2007,2019,0.9128,0.8743,0.953,-~,-8.72% (-12.57%; -4.70%),a8c35af09973b4fb822f3bc8d98a9e50e385ccb5,a8b38773eb7820ae284f0e5b2a993032d668ee3d
Bos,driejaarlijks,2007,2022,0.8995,0.8552,0.946,-~,-10.05% (-14.48%; -5.40%),a8c35af09973b4fb822f3bc8d98a9e50e385ccb5,a8b38773eb7820ae284f0e5b2a993032d668ee3d
Bos,driejaarlijks,2010,2013,0.9777,0.9491,1.0071,~,-2.2% (-5.1%; +0.7%),a8c35af09973b4fb822f3bc8d98a9e50e385ccb5,a8b38773eb7820ae284f0e5b2a993032d668ee3d
Bos,driejaarlijks,2010,2016,0.9408,0.9083,0.9745,-~,-5.9% (-9.2%; -2.5%),a8c35af09973b4fb822f3bc8d98a9e50e385ccb5,a8b38773eb7820ae284f0e5b2a993032d668ee3d
Bos,driejaarlijks,2010,2019,0.8892,0.8528,0.9273,-~,-11.08% (-14.72%; -7.27%),a8c35af09973b4fb822f3bc8d98a9e50e385ccb5,a8b38773eb7820ae284f0e5b2a993032d668ee3d
Bos,driejaarlijks,2010,2022,0.8763,0.8338,0.921,-~,-12.37% (-16.62%; -7.90%),a8c35af09973b4fb822f3bc8d98a9e50e385ccb5,a8b38773eb7820ae284f0e5b2a993032d668ee3d
Bos,driejaarlijks,2013,2016,0.9622,0.932,0.9935,-~,-3.8% (-6.8%; -0.6%),a8c35af09973b4fb822f3bc8d98a9e50e385ccb5,a8b38773eb7820ae284f0e5b2a993032d668ee3d
Bos,driejaarlijks,2013,2019,0.9096,0.8737,0.947,-~,-9.04% (-12.63%; -5.30%),a8c35af09973b4fb822f3bc8d98a9e50e385ccb5,a8b38773eb7820ae284f0e5b2a993032d668ee3d
Bos,driejaarlijks,2013,2022,0.8963,0.8542,0.9405,-~,-10.37% (-14.58%; -5.95%),a8c35af09973b4fb822f3bc8d98a9e50e385ccb5,a8b38773eb7820ae284f0e5b2a993032d668ee3d
