soort,frequentie,jaar,schatting,lcl,ucl,wijziging,analyse,status
Aalscholver,driejaarlijks,2007,0.4858,0.306,0.7712,0.49 (0.31; 0.77),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2010,0.5362,0.3523,0.816,0.54 (0.35; 0.82),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2013,0.6808,0.4632,1.0005,0.681 (0.463; 1.001),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2016,0.8696,0.5849,1.2928,0.870 (0.585; 1.293),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2019,0.8862,0.5988,1.3114,0.886 (0.599; 1.311),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2022,0.7022,0.439,1.1232,0.702 (0.439; 1.123),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,jaarlijks,2007,0.4919,0.2834,0.8538,0.49 (0.28; 0.85),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2008,0.4445,0.2682,0.7367,0.44 (0.27; 0.74),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2009,0.4507,0.2754,0.7375,0.45 (0.28; 0.74),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2010,0.4642,0.2858,0.754,0.46 (0.29; 0.75),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2011,0.5497,0.3482,0.8676,0.55 (0.35; 0.87),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2012,0.5994,0.3809,0.9435,0.60 (0.38; 0.94),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2013,0.6882,0.442,1.0714,0.688 (0.442; 1.071),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2014,0.6357,0.4054,0.9967,0.64 (0.41; 1.00),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
