soort,frequentie,referentie,naar,schatting,lcl,ucl,klasse,wijziging,analyse,status
Aalscholver,driejaarlijks,2007,2010,1.1038,0.7933,1.5357,?+,+10% (-21%; +54%),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2007,2013,1.4017,0.9317,2.1088,?+,+40% (-7%; +111%),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2007,2016,1.7907,1.0986,2.9186,+,+79% (+10%; +192%),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2007,2019,1.8247,1.1022,3.0207,+,+80% (+10%; +200%),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2007,2022,1.4459,0.8453,2.4729,?+,+45% (-15%; +147%),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2010,2013,1.27,0.917,1.7587,?+,+27% (-8%; +76%),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2010,2016,1.6224,1.0547,2.4958,+,+62% (+5%; +150%),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2010,2019,1.6532,1.0518,2.5987,+,+65% (+5%; +160%),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2010,2022,1.3098,0.7956,2.1565,?+,+31% (-20%; +116%),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2013,2016,1.2776,0.9316,1.7522,?+,+28% (-7%; +75%),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2013,2019,1.302,0.9032,1.8767,?+,+30% (-10%; +88%),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2013,2022,1.0315,0.6384,1.6666,?,+0% (-40%; +70%),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2016,2019,1.0191,0.7697,1.3493,?+,+2% (-23%; +35%),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2016,2022,0.8073,0.5036,1.2941,?-,-19% (-50%; +29%),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,driejaarlijks,2019,2022,0.7921,0.534,1.1749,?-,-21% (-47%; +17%),d759ba56ea04eae3e9f4b5949c443cb92f0082e8,3178d09c5c84c6b7032f932cda7965b214779cb0
Aalscholver,jaarlijks,2007,2008,0.9037,0.6301,1.296,?-,-10% (-37%; +30%),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2007,2009,0.9161,0.5716,1.4684,?,-8% (-43%; +47%),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2007,2010,0.9436,0.5557,1.6024,?,-10% (-40%; +60%),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2007,2011,1.1175,0.648,1.9271,?,+10% (-40%; +90%),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2007,2012,1.2187,0.6918,2.1466,?,+22% (-31%; +115%),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2007,2013,1.3992,0.7956,2.4611,?+,+40% (-20%; +146%),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2007,2014,1.2923,0.7192,2.3222,?,+29% (-28%; +132%),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2007,2015,1.3655,0.7498,2.4863,?,+37% (-25%; +149%),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2007,2016,1.5173,0.8405,2.739,?+,+52% (-16%; +174%),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2007,2017,2.0421,1.1259,3.7036,+,+100% (+10%; +270%),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2007,2018,2.2001,1.1864,4.08,+,+120% (+20%; +310%),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2007,2019,2.1671,1.1709,4.0104,+,+120% (+20%; +300%),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2007,2020,2.0423,1.0978,3.7996,+,+100% (+10%; +280%),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2007,2021,1.7554,0.9649,3.1931,?+,+80% (-0%; +220%),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2007,2022,1.4435,0.7472,2.7888,?,+44% (-25%; +179%),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
Aalscholver,jaarlijks,2007,2023,1.4376,0.6939,2.9784,?,+44% (-31%; +198%),1aeae1f347d3f19bc64b9cec2cf15adc42287f5a,501935fb04cda3f3634cdf510c65cb760d15bf96
