soort	frequentie	jaarlijks	looptijd	klasse	verloop	analyse	status
Aalscholver	driejaarlijks	+8.5% (+3.0%; +14.3%)	+190% (+50%; +470%)	++	niet-lineair	4e190a486d6794183486f2c552cbd4ca05b2d8be	fa8bd9368de386353b5a718551783cd1deb78ba3
Aalscholver	jaarlijks	+8.5% (+2.8%; +14.4%)	+190% (+40%; +480%)	++	niet-lineair	70bccf64f2b119a9e52c41a5b73cc7fda7b0dcb6	bf581c4e179599d3a83ab2aa0c05037abf377fb3
Boomklever	driejaarlijks	+3.8% (+2.3%; +5.3%)	+62% (+35%; +95%)	++	niet-lineair	dce329ef28ddb9e51dcd36449a5b65c658701914	a5972150e950139dfac5eb5469e4b0547048ab60
Boomklever	jaarlijks	+3.9% (+2.4%; +5.4%)	+64% (+36%; +97%)	++	niet-lineair	948272faac75eb26d6a27192ebe692be53e62ddd	7d75bdebd672e4bcf7e13b29f183c4c6e5ff2423
Buizerd	driejaarlijks	+4.4% (+3.3%; +5.6%)	+75.9% (+52.6%; +102.9%)	++	niet-lineair	b4773ef913351266f1981d8239bb00f8c0d6b3e2	e31e20a6c2870095d0eab926907dd32ea8167af8
Buizerd	jaarlijks	+4.7% (+3.5%; +5.9%)	+81.4% (+57.1%; +109.6%)	++	niet-lineair	0def0d44bdc8acdb607cf0d5478c1866132c9862	74034bcefc23ef7cdafd1f7b97a64a2f80f792db
Cetti's zanger	driejaarlijks	+11.7% (+5.6%; +18.1%)	+320% (+100%; +770%)	++	niet-lineair	98835a3215dc3934bef1a963f2c7cf8c6839f1d9	44d0a0e3a36467822e4e43440edc5d48f7edd02e
Cetti's zanger	jaarlijks	+11.7% (+5.5%; +18.2%)	+320% (+100%; +780%)	++	niet-lineair	0f62d0fb3b439ca8a0db4db347279523b301b034	8c1053344267d8c4475b0945150f94f922ba413a
Kauw	driejaarlijks	+5.7% (+5.1%; +6.2%)	+105.0% (+91.5%; +119.4%)	++	niet-lineair	23f7f12b1b9498f9c5a12ed0ee12afa174bd8cd1	5cfdf40931d0538a765d231043aaa093e66c011a
Kauw	jaarlijks	+5.7% (+5.1%; +6.2%)	+104.4% (+90.9%; +118.9%)	++	niet-lineair	0ba2b3557d27d3578657b8142d5c4eb4da6ecd48	af328b07d5a3c16d0e798003082c54249a0874e1
Kleine mantelmeeuw	driejaarlijks	+13.3% (+7.5%; +19.4%)	+410% (+150%; +910%)	++	niet-lineair	a992173e8ff05e3f5a6e1f9a355e1cf089cd1f3f	edd52397c6f6fd64a8dd6667b046978a90155b30
Kleine mantelmeeuw	jaarlijks	+13.5% (+7.6%; +19.7%)	+420% (+160%; +930%)	++	niet-lineair	902ae97a8b518701a99e83ab6f5351eb6a803848	8a3b1e4d0b8b745b398a71b70cdddfd15029dcdd
Knobbelzwaan	driejaarlijks	+6.76% (+3.42%; +10.21%)	+130% (+50%; +250%)	++	mogelijk niet-lineair	6cd6ef28859e237809b1870ec19d15704fa9e7eb	ba056d5f30f1afca7944d5839cd14cadf8feba5a
Knobbelzwaan	jaarlijks	+6.89% (+3.50%; +10.39%)	+140% (+60%; +260%)	++	niet-lineair	55874c521d05d70d15c7a7c0efdb1188e8da1318	d05b757be4f1da40c52a59069f727730805f2db4
Meerkoet	driejaarlijks	+4.2% (+2.4%; +6.0%)	+70.6% (+36.8%; +112.7%)	++	lineair	82a31fa647cefc8273a912cee88998850969d48d	9a5e5ae0fb46d431f19e3d211eb595bd0c6a374c
Meerkoet	jaarlijks	+4.1% (+2.4%; +5.9%)	+68.5% (+35.3%; +109.9%)	++	niet-lineair	027bb503666c93ef97c92d219c01ad3432633f89	e882a343fa4132ba755718dea3cd01e2f03e33bd
Putter	driejaarlijks	+11.46% (+7.34%; +15.74%)	+310% (+150%; +570%)	++	niet-lineair	e114ae48bfb01bfb66f2996732a3ca58795b0ef3	0ff659d14cacbd3a941eb2539435027d7c5eb56d
Putter	jaarlijks	+11.75% (+7.59%; +16.07%)	+320% (+160%; +590%)	++	niet-lineair	9cb76624f19cbc068208a3915e50537f605e16f7	ad73677c4d4e91fe4d5405b436450dabbda5cf0a
Roek	driejaarlijks	+14.55% (+10.65%; +18.59%)	+480% (+270%; +820%)	++	mogelijk niet-lineair	325637d759775f6e33a988d8c47ecf75b3affa5e	c91fac53507c80a63e38e4b4b200dc56bef05a25
Roek	jaarlijks	+15.25% (+11.28%; +19.36%)	+530% (+300%; +900%)	++	niet-lineair	6ba4f10536fc02b2eaddd2d117e526bb9ad277df	8cf08a6977cdb40b177b9c2b51690f7dbd8fd588
Zwartkop	driejaarlijks	+2.86% (+2.38%; +3.34%)	+44% (+36%; +53%)	++	niet-lineair	1fb314354e2c4a6051114be7afb97c88977cf8c8	ce714e7dc2201b965d53952dfa7e33990fb7a05e
Zwartkop	jaarlijks	+2.95% (+2.47%; +3.43%)	+46% (+37%; +55%)	++	niet-lineair	28274eaf08b76c16ca6a2cffe91c9b2e7812c396	9682a84f06b595a3725774f846f405331c3431fd
Bergeend	driejaarlijks	+1.7% (+0.0%; +3.4%)	+24% (+0%; +54%)	+	niet-lineair	adab77e5dafbdd81ab42864ad5f87c9b9bfa7fcd	4733fb703ba92015cb5e63551894a5246ada8baf
Blauwborst	driejaarlijks	+2.3% (+0.4%; +4.3%)	+35% (+5%; +73%)	+	niet-lineair	eb9d2cd65cbf96079dcdcac083728508d0586ee0	fcfd9d6f9bf4bee39a5507f218d47ce771dcec9a
Blauwborst	jaarlijks	+2.4% (+0.5%; +4.4%)	+37% (+7%; +75%)	+	niet-lineair	f5b9cd8a5e490ab778552c4baf6d40cb1d8350c8	505b586d4faae5777c3999f41387890aa7d5ef89
Blauwe reiger	driejaarlijks	+2.6% (+0.0%; +5.1%)	+39% (+0%; +92%)	+	lineair	0c1f2eed78418d0aa901a5328046c4417c31f2ed	e741f55d588e70623027823643b103ed4faaf258
Blauwe reiger	jaarlijks	+2.5% (+0.0%; +5.1%)	+38% (+0%; +90%)	+	lineair	ee3661c9e856bcfc774e57964f495e842573f4d7	3e260a189cb33ba1eab4335f83a9e7b654af00da
Boerenzwaluw	driejaarlijks	+1.5% (+0.6%; +2.3%)	+21% (+8%; +35%)	+	niet-lineair	18ae44479f3ea217a9df86e7cf85f5f666942116	511cc49783df15ace95e886e44dac518f3abbaa4
Boomkruiper	driejaarlijks	+1.3% (+0.1%; +2.5%)	+18% (+2%; +38%)	+	niet-lineair	d1d380f254c1ea27c59d74158f5512103d151aca	ed23239c0a40ef82ca3caae6ed2675e6beca3c76
Boomkruiper	jaarlijks	+1.3% (+0.2%; +2.5%)	+19% (+2%; +38%)	+	niet-lineair	346688ee8212c1b61095c5ce503b6912189ff563	aef80f9c0458bec70b55ddf157b2aff1c5d79131
Canadese gans	driejaarlijks	+2.1% (+0.8%; +3.5%)	+32% (+11%; +56%)	+	lineair	803d38fdf3c7beead5e07ad0480adb855f4c4e8a	27cdafe09fab4a421e4c28fba6d0580df1193e97
Canadese gans	jaarlijks	+2.4% (+1.1%; +3.8%)	+37% (+15%; +62%)	+	lineair	188230733f3267f337c7e44f36eca007064da09d	d39c67ce660f5d5d21e510ab29005975b4d682ca
