soort	frequentie	jaarlijks	looptijd	klasse	verloop	analyse	status
Grote bonte specht	driejaarlijks	+2.8% (+1.9%; +3.7%)	+44% (+28%; +61%)	+	niet-lineair	58a7c78255f63860401cadb410d0302c614688f8	27b6f142b9908a91b029ab56f88cad054ba1d0b7
Grote bonte specht	jaarlijks	+2.9% (+2.0%; +3.8%)	+46% (+30%; +63%)	+	niet-lineair	35aa98b4b1bb6de17b832b38173f05cf4b6265a1	7c1e5bddd2cbe002710056e277d15c0b408cb09a
Halsbandparkiet	driejaarlijks	+6.25% (+1.45%; +11.27%)	+120% (+20%; +300%)	+	niet-lineair	e28f6385e573bd78e41bb2c4cc28b5f4407f0126	79e5a4d527b27d32e6b622b7cfffcebbdc021cfa
Halsbandparkiet	jaarlijks	+6.00% (+1.49%; +10.70%)	+110% (+20%; +280%)	+	niet-lineair	627f6eac1482a6e0aa4290caa6ad02c933967299	4d328d28f9cb58a4167fb3268fff67fbab8ec4ad
Kokmeeuw	driejaarlijks	+6.4% (+1.1%; +11.9%)	+120% (+10%; +330%)	+	niet-lineair	d488273c2d6444de402c28ed736dd0ccc8987daa	dc7985529f9dad0e0f35db03579d8de275876bfb
Kokmeeuw	jaarlijks	+6.6% (+1.1%; +12.4%)	+130% (+20%; +360%)	+	niet-lineair	b01a386ff02704c888a6928831fd2ef4332a851b	256460c3c7e4fae3bf304a235b98f149e1b9d90c
Krakeend	driejaarlijks	+6.6% (+1.3%; +12.2%)	+130% (+20%; +350%)	+	niet-lineair	41f9074dd03e9408f821891fd66f9edf57781cb0	cf1b969afb753d1c6ceeeebb685a86c41a2d48a2
Krakeend	jaarlijks	+6.0% (+0.9%; +11.4%)	+110% (+10%; +310%)	+	lineair	b06f579ebcb2aa45d84b362d4fdbd89baa71c281	0e82ee5be4a34c79bd0a5e4265bbb674cbc09ab2
Nijlgans	driejaarlijks	+3.5% (+2.0%; +5.1%)	+57% (+29%; +91%)	+	lineair	da153d8a36afe068a4b249453632742a0c900fcd	fd55d78fd3a503faee7b2f9c49f8ea88dbc7dfef
Nijlgans	jaarlijks	+3.3% (+1.7%; +4.8%)	+52% (+25%; +84%)	+	niet-lineair	87a8c28b6d7e3bc4aba53aea29c5c169083834d7	552f4b683f92f10a12a1217e57764d38472614ec
Roodborst	driejaarlijks	+1.9% (+1.3%; +2.6%)	+28% (+18%; +39%)	+	niet-lineair	8b7175cc997035ffaa2c7b221d86acbb02ad20ed	9e6a517c99aabf5954fd037bda88f3ae5d12e1d8
Roodborst	jaarlijks	+2.0% (+1.4%; +2.6%)	+29% (+19%; +40%)	+	niet-lineair	c46c58f0d379e622925cb1e44cbb5c250922dd4a	d32ef228b15ef7aef1f8e3ee855274503f76526d
Roodborsttapuit	driejaarlijks	+4.0% (+2.1%; +6.0%)	+66.9% (+31.3%; +112.3%)	+	niet-lineair	ee9f1df315bb27c581bdf0d471e0fe24102d89a0	bed44a86206a49c4525698b0485722ced9b4e5db
Roodborsttapuit	jaarlijks	+4.1% (+2.2%; +6.1%)	+69.5% (+33.3%; +115.6%)	+	niet-lineair	cf56df0a11460d00962676b6673b44c276b37337	f55f85c8443ea734132a242c8f925bf2dc96bcd4
Sperwer	driejaarlijks	+3.6% (+0.4%; +7.0%)	+59% (+5%; +142%)	+	lineair	6b7cffee8f5471a49a0c57cc4c8be8167248d4e2	c4131180ca0f740dd10aed2587baf2cf60761aca
Sperwer	jaarlijks	+3.7% (+0.3%; +7.1%)	+59% (+5%; +143%)	+	lineair	da01a91380d42417287fa1b364c2ddc09daca60f	a693e80d2ef75fc464776f0c5d19afbf6f920508
Torenvalk	driejaarlijks	+2.8% (+1.2%; +4.5%)	+44% (+17%; +77%)	+	niet-lineair	2bc0cc1f8bc37a30d4f23c7d2eecec3e5254765a	2ed2e09cc558bb270beab9c6c64cb805267156e3
Torenvalk	jaarlijks	+3.0% (+1.3%; +4.6%)	+46% (+19%; +80%)	+	niet-lineair	15dd9acaca45a452da69cae18e0ea2b61db63373	d0f05b64ba209d7bcbb504d33f6e60a5ef7657bc
Witte kwikstaart	driejaarlijks	+1.6% (+0.8%; +2.4%)	+23% (+11%; +36%)	+	niet-lineair	a4a42bc3eb7b77e0b079a51187455d789dc1743d	baa8f563e71c45689894d8b6bd2d0f4bf2ddc823
Witte kwikstaart	jaarlijks	+1.6% (+0.8%; +2.4%)	+22% (+10%; +36%)	+	niet-lineair	bae41ef7724dba3f42d11a39030b868a4eb4ec14	46dabe6f268e89462d9bb927ddfdab3229bdd31f
Zwarte kraai	driejaarlijks	+2.08% (+1.71%; +2.45%)	+31% (+25%; +37%)	+	niet-lineair	fac729217d8975ac8aa8e02f53dc80c4aee9dbd4	d5b68d376e1fbffedf87f03ded638cbfac1e99ef
Zwarte kraai	jaarlijks	+2.07% (+1.69%; +2.44%)	+30% (+24%; +37%)	+	niet-lineair	378f59c23ad9b001582499712fc1ba0cc97aa4e9	abf77fca34cbcc4a3279a595386132c3c54f3867
Zwarte roodstaart	driejaarlijks	+1.8% (+0.7%; +3.0%)	+27% (+10%; +46%)	+	niet-lineair	59f4f42bebcc6fb14df2003d0b227f0af3a317f5	55d142adcc38f6320afbe01fce33478a7f6ada7a
Zwarte roodstaart	jaarlijks	+1.8% (+0.7%; +2.9%)	+25% (+9%; +44%)	+	niet-lineair	142c5f43993ef9d4e0e095b839ceb7b91cb0f8a4	9a9ee2b6b8d4372941d62222cb255b86cd656eb4
Boerenzwaluw	jaarlijks	+1.3% (+0.5%; +2.2%)	+19% (+6%; +33%)	+~	niet-lineair	62bd350e1888b449497618bcb071fb72151c981c	e2a387d6fe43d6eb9a4c47042edd427a47e2a281
Grasmus	driejaarlijks	+1.3% (+0.4%; +2.1%)	+18% (+5%; +31%)	+~	niet-lineair	4025545a88fd71d1be272f9262b3ef89a0b11e81	8a59129ac23771d82b8d283607b4272faed134ca
Grasmus	jaarlijks	+1.3% (+0.4%; +2.2%)	+18% (+6%; +32%)	+~	niet-lineair	7c9c353d6b3d3489ef809b4d28feafe94d2ee5b0	f66be95511f8f69315f823c9fbc7b58dd002ba9b
Houtduif	driejaarlijks	+0.59% (+0.31%; +0.87%)	+7.92% (+4.09%; +11.89%)	+~	niet-lineair	28e38d02c3db100a212fa151197edf31aec2e3e7	23fcb625cfc4eda0730f9ee285a5b4b091ef2cfe
Houtduif	jaarlijks	+0.60% (+0.32%; +0.88%)	+8.14% (+4.30%; +12.13%)	+~	niet-lineair	ecc4abca0a8c90c9e41a9e5c53499fe688581122	3381e5d598f7b6a73f04d90c3beab75347d6cf7c
Pimpelmees	driejaarlijks	+1.38% (+0.79%; +1.99%)	+20% (+11%; +29%)	+~	niet-lineair	7f45a1536d86e88fbe175027bca5ae37a976e0df	49e76a07e0dbb94f7cc4f98f8bf66690597bede2
Pimpelmees	jaarlijks	+1.5% (+0.9%; +2.1%)	+21% (+12%; +31%)	+~	niet-lineair	8cdb29f830c9278e82db809d23c797cc9d9a1692	a060134c7f8ae6beaa8ffcf4d2565f338ac2b885
Tjiftjaf	driejaarlijks	+1.010% (+0.606%; +1.415%)	+14% (+8%; +20%)	+~	niet-lineair	060ff4b0c190bacf9b110c2dbe6838eea18a87a9	7e8af0f2db6bc8ead6fffe3a5dc5b7b098ca274f
Tjiftjaf	jaarlijks	+1.083% (+0.679%; +1.489%)	+15% (+9%; +21%)	+~	niet-lineair	16ec2f241d1da189a846d3016a94465078e92917	b53faeace1ab4cf7340196a25bcc58e0417461c0
Vink	driejaarlijks	+0.943% (+0.628%; +1.259%)	+12.98% (+8.48%; +17.67%)	+~	niet-lineair	06b2cfb39501a9f79f54500321f6d1429200b61a	9f210878dd764b2da36a0933089845ff6ff4fa25
Vink	jaarlijks	+0.966% (+0.651%; +1.283%)	+13.31% (+8.80%; +18.02%)	+~	niet-lineair	3dd8c5193659359d6860309946ff891eced13a5b	38dabb09bbe5ec62a155144b367c134b26b68c03
Boompieper	driejaarlijks	+0.2% (-1.7%; +2.0%)	+2% (-20%; +30%)	~	niet-lineair	cb90fcca28632dd63d9cf2b4b74fc2ce74a8bbb5	6095ef51b889030528329c8c88f0b1bd24ab27ba
Boompieper	jaarlijks	+0.07% (-1.75%; +1.93%)	+1% (-21%; +28%)	~	niet-lineair	bf179183e75088a698fde7de4d7fb3cb387b4439	1c7b99389a15666d5eed967b370a0a756d43c682
Ekster	driejaarlijks	+0.10% (-0.35%; +0.54%)	+1% (-4%; +7%)	~	niet-lineair	3d55bd5d414e2dc64db89998a9970b316c2daef5	86109e120f6b0434744ff8ff30fba3a54b41c66f
Ekster	jaarlijks	+0.13% (-0.31%; +0.58%)	+2% (-4%; +8%)	~	niet-lineair	6497c4825416492427e74cd6d6beffc666c0749f	0a507d744e820781b2fc08cb3dc73b3961d7fb41
Gaai	jaarlijks	-0.98% (-1.96%; +0.01%)	-12% (-23%; +0%)	~	niet-lineair	cf714894cb1f56228fda0a9005714e1b7b6872ae	5e9608a63a1bf13e11340677ac641e2ded2644ef
Groene specht	driejaarlijks	-0.1% (-0.8%; +0.6%)	-1% (-10%; +8%)	~	niet-lineair	3a7858c9e3b1be6f4b6102f03f5ad871051628f8	601944b81ae68d473e1f6417ae60adee7514959a
Groene specht	jaarlijks	+0.0% (-0.7%; +0.7%)	+0% (-9%; +10%)	~	niet-lineair	4eb52b497ea97b8371455f45800e71d11253abdd	7dcff4e490197fe68783c96b14275c5e32745c23
Groenling	driejaarlijks	-0.76% (-1.62%; +0.11%)	-9.4% (-19.1%; +1.5%)	~	lineair	9d9a799773139cb5915b7c8a9772eaa04b0d1c33	61af7bc716265aff9ae76edf3fa0541f83a1a9ee
Groenling	jaarlijks	-0.75% (-1.61%; +0.13%)	-9.3% (-19.0%; +1.7%)	~	lineair	7aa21696e1e80748abd34d76e9210be4e520c28a	e57d8487d1204eeb786d478b08472b7f36f70225
Kleine karekiet	driejaarlijks	+0.6% (-0.8%; +2.0%)	+8% (-10%; +30%)	~	niet-lineair	559d74c7d5f70e654d329e1a9f0fbad07d21afb9	75442c94cef252fd5574f39b5b354f8525934482
Kleine karekiet	jaarlijks	+0.46% (-0.96%; +1.89%)	+6% (-12%; +28%)	~	niet-lineair	fb773231473b11e4bbcd59c0035c680407caf020	fe8534d3d557495298bb5f0f353b0de3a554f3b8
Kneu	jaarlijks	+0.6% (-0.9%; +2.0%)	+7% (-11%; +30%)	~	niet-lineair	6d1cbbdbc88c7a8c8a0cd7bce721631637a63566	f779dbcf56e5960b58f335da7a30729673780dbd
Scholekster	driejaarlijks	-0.67% (-1.73%; +0.40%)	-8% (-20%; +5%)	~	niet-lineair	4d280d731a7da3a7562b31b64c0e1aa9583c3f5f	536cb8faf7ea21aaf389ddf8b7df931037376df7
Scholekster	jaarlijks	-0.74% (-1.79%; +0.33%)	-9% (-21%; +4%)	~	niet-lineair	da4a2b3d8c783edfe89053a9b4076cbef938b1a5	32641b1e09e9773cdcc7b45c7bf7c63d86dc2850
Fazant	driejaarlijks	-0.66% (-1.17%; -0.16%)	-8.3% (-14.1%; -2.1%)	-~	niet-lineair	2dbc7bbf2bb3d80494a67717ecc030fd32ae1b9d	c3a333a75ab6367599d0a6b1d27e0ef49e673f47
Fazant	jaarlijks	-0.65% (-1.15%; -0.14%)	-8.1% (-14.0%; -1.8%)	-~	niet-lineair	e319ffbadef3c805f3d752207b4c89a3ebf73763	5c968d58173f9f0a5d5672c160a2e2c41e26f071
Gaai	driejaarlijks	-1.1% (-2.1%; -0.1%)	-14% (-24%; -2%)	-~	niet-lineair	aa6f148f712d8bd1bb5d7203a538c4f41f14416f	99e8b6f6f09c0de8275a10edccd59e4496911da6
Holenduif	driejaarlijks	-0.79% (-1.45%; -0.13%)	-9.8% (-17.2%; -1.7%)	-~	niet-lineair	0735c90371335dcba45a8516e0f3ea163f01de2e	191daddec43b9f8bbc6b86b54b44d102fd9061f3
Holenduif	jaarlijks	-0.86% (-1.52%; -0.21%)	-10.7% (-18.0%; -2.6%)	-~	niet-lineair	4f931924d19f93aa9094be906b3d1f53e83c3bf7	da62280bdcc37bc048ffda5574ae911591c6ffe8
Koolmees	driejaarlijks	-0.806% (-1.179%; -0.431%)	-9.98% (-14.29%; -5.46%)	-~	niet-lineair	9ce58ef804a1eb7be4dcae3c351d4aee7816aa60	7b62cdf55cbaa891fe862d3724b97fe213531f3a
Koolmees	jaarlijks	-0.744% (-1.118%; -0.369%)	-9.25% (-13.59%; -4.70%)	-~	niet-lineair	72b1131e15c107036d2329403e1d0b789914e43e	2092d81b254e5e3c3ac0e52f7baddb03d2647cd7
Turkse tortel	driejaarlijks	-1.71% (-2.09%; -1.34%)	-20.1% (-24.0%; -16.1%)	-~	lineair	91630c83cbc2009b95df20b53a25c772e3de126d	e03d569c86be0fb0be17e2fa46b56995bc6611d0
Turkse tortel	jaarlijks	-1.71% (-2.08%; -1.33%)	-20.1% (-23.9%; -16.0%)	-~	niet-lineair	3bd4ae68d966958eaa3c876461bf4def922e51ca	15c7820181002fd9f9b5686050da6794051d300f
Winterkoning	driejaarlijks	-0.971% (-1.277%; -0.665%)	-11.92% (-15.38%; -8.31%)	-~	niet-lineair	078d7de8cc7926f305fd311ab08397492b9b954e	fe9e5aaf99277cb2eb90b2b155848438df29d629
Winterkoning	jaarlijks	-0.858% (-1.164%; -0.551%)	-10.60% (-14.12%; -6.93%)	-~	niet-lineair	b591b6c4495d54ac657fdd972d40311f18f11f63	22ddd93be859ea79324a7d6e7239bca396415893
Geelgors	driejaarlijks	-1.6% (-2.9%; -0.3%)	-19% (-32%; -4%)	-	niet-lineair	0187374674f0a0a1d685583e97dd8d8c17ca44f7	e4dcba03b87c51873d13f44775c2f7e40a13d71d
Geelgors	jaarlijks	-1.5% (-2.8%; -0.2%)	-18% (-31%; -3%)	-	niet-lineair	b33c36e2dd1e8b83f9d01ecb7a95a909498f216c	4e437418c3220a0ff99fac6b8a82c49d1bee6867
Gele kwikstaart	driejaarlijks	-2.7% (-3.5%; -1.9%)	-30% (-37%; -22%)	-	niet-lineair	740e06d5ac541031ea8cefbbf07a148e25283ace	e92c7dc9fda1baac98019dca7666495a4c2f7f72
Gele kwikstaart	jaarlijks	-2.7% (-3.6%; -1.9%)	-30% (-38%; -22%)	-	niet-lineair	f9a9c9fc05b1c6a13d5d844aa7b662deece9e684	4936c17fba89c4eb1a65bd840da4c0b20da2f2a3
Goudhaan	driejaarlijks	-2.5% (-4.3%; -0.7%)	-28% (-44%; -8%)	-	niet-lineair	4e9b93057201d54edaf3e98c6f12a583c703a250	33513311bb7a750cac2789000a905b7077dd18d8
Goudhaan	jaarlijks	-2.4% (-4.2%; -0.5%)	-27% (-43%; -7%)	-	niet-lineair	4515222e3478349fe2a69bbf213873a0bc273d84	b68986de837f4e0f42c7ec63ff09f19d1907ac1b
Graspieper	driejaarlijks	-3.3% (-4.6%; -2.1%)	-36% (-45%; -24%)	-	niet-lineair	5a424aaab6e193b74df5aa7e0624706cf3d4051b	94c5e5f0f133aa8929d18a0112bc4a0c2c951400
Heggenmus	driejaarlijks	-2.3% (-2.8%; -1.8%)	-26% (-31%; -21%)	-	niet-lineair	1d2a2174c0cc94f24361d80244f4bc62b6bc7631	6380a0abfa472786b38519af8c20c45e1bd090a5
Heggenmus	jaarlijks	-2.3% (-2.8%; -1.8%)	-26% (-31%; -21%)	-	niet-lineair	58ec8a1434dd846b6b333036785365cd98e72264	5ce5c20cf69736e884fd1430545aa198d729207c
Koekoek	driejaarlijks	-2.1% (-3.6%; -0.5%)	-24% (-38%; -6%)	-	lineair	02c49b42abd309606f54b074e5f9c5de345d3856	0a143fc18e99f6b5def3390454a0a681b32bcb39
Koekoek	jaarlijks	-2.0% (-3.5%; -0.4%)	-23% (-37%; -6%)	-	niet-lineair	5ad091b1c94f7fc7ecd4668497b0a432c0e270ab	3e4198d8adb042df7be5c01cd50b53283cfbf846
Ringmus	jaarlijks	-3.7% (-5.2%; -2.2%)	-39% (-50%; -25%)	-	niet-lineair	73bf5ae0b91bd429f2b98c5ebb36a0c51be2ab53	55bf3d9a3702297bb0607463e741d03bb374c144
Spreeuw	driejaarlijks	-2.6% (-3.3%; -1.9%)	-29% (-35%; -22%)	-	mogelijk niet-lineair	4eda69192d3d82c8358d2ad405f8081e68d872d9	4f9e7aebdbf47a6acd7a0b214ee023752dccc472
Spreeuw	jaarlijks	-2.6% (-3.3%; -2.0%)	-29% (-36%; -23%)	-	niet-lineair	eac2cc3ceba613e9ef65209e1b573afc37b42fc3	3e4420136e9890a7dd82ff91a33a3b6b544fe948
Staartmees	driejaarlijks	-3.1% (-5.6%; -0.6%)	-34% (-53%; -8%)	-	niet-lineair	dc37dcd76e0dfe4bab70349fcc4cf63a6b8c2202	4e3f3300147e899c84431e9fcaa90d41ce5d7247
Staartmees	jaarlijks	-2.8% (-5.3%; -0.3%)	-31% (-51%; -4%)	-	niet-lineair	c15e8be40ebd551be64a01ea45d3c60de35438d4	612a7577fd4e878d74ad14030d7f3c50ce34c2ba
Veldleeuwerik	driejaarlijks	-2.7% (-3.3%; -2.1%)	-30% (-35%; -24%)	-	lineair	e9b4e01850cca1dc324f5a922a02f79c1fe3adc6	1c44b213427acf7635b3262c94d33c28a537054b
Veldleeuwerik	jaarlijks	-2.7% (-3.3%; -2.0%)	-30% (-35%; -24%)	-	niet-lineair	b4071a21a19450096e234612587669028ba74c51	c0cc080e5502e85e910303defcc9bd6a31189099
Waterhoen	driejaarlijks	-3.0% (-4.1%; -2.0%)	-33% (-42%; -23%)	-	niet-lineair	a940c51016a1ae1c6ea29c75ef53d2b86c996da0	928c6253b429442b8f19a79c6dffe4b5ae9ddaab
Waterhoen	jaarlijks	-3.0% (-4.0%; -1.9%)	-33% (-41%; -23%)	-	niet-lineair	76343954430aa2e38313476f93028d2a7935d79b	2e8d57b53b2a11e390b55f9c9cedf36f2680a78c
Wilde eend	driejaarlijks	-2.6% (-3.4%; -1.8%)	-29% (-36%; -21%)	-	lineair	063eae786813d638a527e8150ac9054945010e30	84e0f299bd04981aafbdfb8b1516a3d026292f7f
Wilde eend	jaarlijks	-2.5% (-3.3%; -1.7%)	-28% (-35%; -20%)	-	niet-lineair	ac300d06bc223ed6c730e4698a64011b72effd1d	79aa22e23fea4f4829fdd7e80dca24b64a3baf0c
Fitis	driejaarlijks	-4.0% (-5.8%; -2.2%)	-41% (-54%; -25%)	--	lineair	694dc41c0e7bcec7ceec6564df3506f98dae29a6	d62f924415fb6d89502f07a4baeac60e19cb078e
Fitis	jaarlijks	-4.2% (-6.0%; -2.3%)	-43% (-55%; -27%)	--	niet-lineair	195028a34b19c993ac5dd1621ced36c15aa708a0	12feba89110ab7dbb644fabb563c4ef5fe5cd659
Graspieper	jaarlijks	-3.8% (-4.9%; -2.5%)	-39% (-48%; -28%)	--	niet-lineair	7f62db996a1fc81a89a70ab747d0b4e00cc12692	c4ef35fa48f955aa6e1e3a46b8cce97a139574cf
Grote lijster	driejaarlijks	-7.7% (-9.6%; -5.8%)	-65% (-73%; -54%)	--	niet-lineair	5d00962346be2aafa9279c9814a5ff2a75af45f9	45f99514adcc78330dc803de6ec3a7ebecf2bcc2
Grote lijster	jaarlijks	-7.8% (-9.7%; -5.9%)	-65% (-73%; -55%)	--	niet-lineair	3f541fb634b274613f7c1b11554f8813e0ff4b5c	a51c6fe7f01feb3d4f37c1d70dc461ece7375d59
Grutto	jaarlijks	-4.6% (-6.7%; -2.5%)	-46% (-59%; -28%)	--	lineair	60f88bf3982fb9487527b9ad4fd58ad96504415d	f470e27b833291d31da39792e058c7c4709b1c21
Havik	driejaarlijks	-6.7% (-9.9%; -3.5%)	-60% (-74%; -37%)	--	mogelijk niet-lineair	2b48365a17521881f283abc50f9c593bacb0b2c5	55e2b0537a90b67aaf06b0bf1d46410b8e88a681
Havik	jaarlijks	-6.94% (-10.07%; -3.70%)	-61% (-75%; -39%)	--	mogelijk niet-lineair	2bc4a612006c97f4419585f39ad4f88cd6fdd075	310a384026383a41c38193738c13ca03e2971f29
Huismus	driejaarlijks	-2.96% (-3.38%; -2.53%)	-32.3% (-36.1%; -28.3%)	--	niet-lineair	601b06e471c1db6dc3bea2372fb82210b2efe193	17425a78ed5b14ec8186c4784b3016bce146f4f1
Huismus	jaarlijks	-2.98% (-3.40%; -2.55%)	-32.5% (-36.2%; -28.5%)	--	niet-lineair	ea66b4e37cfbf47d8d517d48f3a2ca3a65fd1ae9	683203f8ca8309daa72bc69b53d6ef208f9422f4
