soort	frequentie	jaar	schatting	lcl90	ucl90	lcl60	ucl60	lcl30	ucl30	analyse	status
Aalscholver	jaarlijks	2017	0.07	0.04	0.12	0.06	0.1	0.06	0.08	d6c3492e678e8a08410e6406ea61074ec5becbdd	23e3c4922da8ad126bfa7b679860c03bdc20ec61
Aalscholver	jaarlijks	2018	0.07	0.04	0.13	0.05	0.1	0.06	0.08	d6c3492e678e8a08410e6406ea61074ec5becbdd	23e3c4922da8ad126bfa7b679860c03bdc20ec61
Aalscholver	jaarlijks	2019	0.08	0.04	0.13	0.06	0.1	0.07	0.09	d6c3492e678e8a08410e6406ea61074ec5becbdd	23e3c4922da8ad126bfa7b679860c03bdc20ec61
Aalscholver	jaarlijks	2020	0.08	0.04	0.14	0.06	0.1	0.07	0.09	d6c3492e678e8a08410e6406ea61074ec5becbdd	23e3c4922da8ad126bfa7b679860c03bdc20ec61
Bergeend	driejaarlijks	2007	0.19	0.14	0.25	0.16	0.22	0.18	0.2	3dbccf11d615dfda64d6373c96f3eea84ee4f4c2	5f78cb89b191693b8f75616f232767258b5441fd
Bergeend	driejaarlijks	2010	0.22	0.16	0.28	0.19	0.25	0.2	0.23	3dbccf11d615dfda64d6373c96f3eea84ee4f4c2	5f78cb89b191693b8f75616f232767258b5441fd
Bergeend	driejaarlijks	2013	0.22	0.16	0.29	0.19	0.26	0.21	0.24	3dbccf11d615dfda64d6373c96f3eea84ee4f4c2	5f78cb89b191693b8f75616f232767258b5441fd
Bergeend	driejaarlijks	2016	0.21	0.16	0.28	0.19	0.25	0.2	0.23	3dbccf11d615dfda64d6373c96f3eea84ee4f4c2	5f78cb89b191693b8f75616f232767258b5441fd
Bergeend	driejaarlijks	2019	0.24	0.18	0.31	0.21	0.28	0.23	0.26	3dbccf11d615dfda64d6373c96f3eea84ee4f4c2	5f78cb89b191693b8f75616f232767258b5441fd
Bergeend	jaarlijks	2007	0.24	0.17	0.33	0.2	0.28	0.22	0.25	1ed9ae16489b7e6be38b262518e9747418cc6802	04f09a370127573eb0e4e32921c6aed93edbf460
Bergeend	jaarlijks	2008	0.18	0.13	0.24	0.15	0.21	0.16	0.19	1ed9ae16489b7e6be38b262518e9747418cc6802	04f09a370127573eb0e4e32921c6aed93edbf460
Bergeend	jaarlijks	2009	0.17	0.12	0.23	0.15	0.2	0.16	0.19	1ed9ae16489b7e6be38b262518e9747418cc6802	04f09a370127573eb0e4e32921c6aed93edbf460
Bergeend	jaarlijks	2010	0.22	0.16	0.3	0.18	0.25	0.2	0.23	1ed9ae16489b7e6be38b262518e9747418cc6802	04f09a370127573eb0e4e32921c6aed93edbf460
Bergeend	jaarlijks	2011	0.23	0.16	0.32	0.19	0.27	0.21	0.25	1ed9ae16489b7e6be38b262518e9747418cc6802	04f09a370127573eb0e4e32921c6aed93edbf460
Bergeend	jaarlijks	2012	0.2	0.14	0.27	0.17	0.24	0.18	0.22	1ed9ae16489b7e6be38b262518e9747418cc6802	04f09a370127573eb0e4e32921c6aed93edbf460
Bergeend	jaarlijks	2013	0.24	0.18	0.32	0.21	0.27	0.22	0.25	1ed9ae16489b7e6be38b262518e9747418cc6802	04f09a370127573eb0e4e32921c6aed93edbf460
Bergeend	jaarlijks	2014	0.2	0.14	0.28	0.17	0.24	0.19	0.22	1ed9ae16489b7e6be38b262518e9747418cc6802	04f09a370127573eb0e4e32921c6aed93edbf460
Bergeend	jaarlijks	2015	0.18	0.13	0.25	0.15	0.21	0.17	0.2	1ed9ae16489b7e6be38b262518e9747418cc6802	04f09a370127573eb0e4e32921c6aed93edbf460
Bergeend	jaarlijks	2016	0.18	0.13	0.25	0.15	0.22	0.17	0.2	1ed9ae16489b7e6be38b262518e9747418cc6802	04f09a370127573eb0e4e32921c6aed93edbf460
Bergeend	jaarlijks	2017	0.22	0.16	0.3	0.18	0.25	0.2	0.23	1ed9ae16489b7e6be38b262518e9747418cc6802	04f09a370127573eb0e4e32921c6aed93edbf460
Bergeend	jaarlijks	2018	0.22	0.16	0.31	0.19	0.26	0.21	0.24	1ed9ae16489b7e6be38b262518e9747418cc6802	04f09a370127573eb0e4e32921c6aed93edbf460
Bergeend	jaarlijks	2019	0.24	0.17	0.32	0.2	0.27	0.22	0.25	1ed9ae16489b7e6be38b262518e9747418cc6802	04f09a370127573eb0e4e32921c6aed93edbf460
Bergeend	jaarlijks	2020	0.25	0.18	0.34	0.21	0.3	0.24	0.27	1ed9ae16489b7e6be38b262518e9747418cc6802	04f09a370127573eb0e4e32921c6aed93edbf460
Blauwborst	driejaarlijks	2007	0.06	0.05	0.08	0.06	0.07	0.06	0.07	7a630d338ff82e1a872a401b6d78763bc9e40f0d	c74b167782b297956e15d582c9ecaff40ddb0d94
Blauwborst	driejaarlijks	2010	0.08	0.06	0.1	0.07	0.09	0.08	0.09	7a630d338ff82e1a872a401b6d78763bc9e40f0d	c74b167782b297956e15d582c9ecaff40ddb0d94
Blauwborst	driejaarlijks	2013	0.1	0.07	0.12	0.08	0.11	0.09	0.1	7a630d338ff82e1a872a401b6d78763bc9e40f0d	c74b167782b297956e15d582c9ecaff40ddb0d94
Blauwborst	driejaarlijks	2016	0.07	0.05	0.09	0.06	0.08	0.07	0.08	7a630d338ff82e1a872a401b6d78763bc9e40f0d	c74b167782b297956e15d582c9ecaff40ddb0d94
Blauwborst	driejaarlijks	2019	0.1	0.07	0.13	0.08	0.11	0.09	0.1	7a630d338ff82e1a872a401b6d78763bc9e40f0d	c74b167782b297956e15d582c9ecaff40ddb0d94
Blauwborst	jaarlijks	2007	0.06	0.04	0.08	0.05	0.07	0.05	0.06	ec39dd21ed020f56b8c9c75fc6fbc5a23d7caabf	cfc59b70fe2b856d9f84c661a48998821f11dea5
Blauwborst	jaarlijks	2008	0.06	0.05	0.09	0.05	0.07	0.06	0.07	ec39dd21ed020f56b8c9c75fc6fbc5a23d7caabf	cfc59b70fe2b856d9f84c661a48998821f11dea5
Blauwborst	jaarlijks	2009	0.07	0.05	0.1	0.06	0.08	0.07	0.08	ec39dd21ed020f56b8c9c75fc6fbc5a23d7caabf	cfc59b70fe2b856d9f84c661a48998821f11dea5
Blauwborst	jaarlijks	2010	0.08	0.06	0.1	0.07	0.09	0.07	0.08	ec39dd21ed020f56b8c9c75fc6fbc5a23d7caabf	cfc59b70fe2b856d9f84c661a48998821f11dea5
Blauwborst	jaarlijks	2011	0.08	0.05	0.11	0.06	0.09	0.07	0.08	ec39dd21ed020f56b8c9c75fc6fbc5a23d7caabf	cfc59b70fe2b856d9f84c661a48998821f11dea5
Blauwborst	jaarlijks	2012	0.09	0.06	0.12	0.07	0.1	0.08	0.09	ec39dd21ed020f56b8c9c75fc6fbc5a23d7caabf	cfc59b70fe2b856d9f84c661a48998821f11dea5
Blauwborst	jaarlijks	2013	0.08	0.06	0.11	0.07	0.09	0.08	0.09	ec39dd21ed020f56b8c9c75fc6fbc5a23d7caabf	cfc59b70fe2b856d9f84c661a48998821f11dea5
Blauwborst	jaarlijks	2014	0.12	0.08	0.16	0.1	0.14	0.11	0.13	ec39dd21ed020f56b8c9c75fc6fbc5a23d7caabf	cfc59b70fe2b856d9f84c661a48998821f11dea5
Blauwborst	jaarlijks	2015	0.1	0.07	0.14	0.09	0.12	0.09	0.11	ec39dd21ed020f56b8c9c75fc6fbc5a23d7caabf	cfc59b70fe2b856d9f84c661a48998821f11dea5
Blauwborst	jaarlijks	2016	0.08	0.06	0.11	0.07	0.09	0.07	0.08	ec39dd21ed020f56b8c9c75fc6fbc5a23d7caabf	cfc59b70fe2b856d9f84c661a48998821f11dea5
Blauwborst	jaarlijks	2017	0.06	0.04	0.09	0.05	0.07	0.06	0.07	ec39dd21ed020f56b8c9c75fc6fbc5a23d7caabf	cfc59b70fe2b856d9f84c661a48998821f11dea5
Blauwborst	jaarlijks	2018	0.08	0.05	0.1	0.06	0.09	0.07	0.08	ec39dd21ed020f56b8c9c75fc6fbc5a23d7caabf	cfc59b70fe2b856d9f84c661a48998821f11dea5
Blauwborst	jaarlijks	2019	0.1	0.07	0.13	0.09	0.12	0.09	0.11	ec39dd21ed020f56b8c9c75fc6fbc5a23d7caabf	cfc59b70fe2b856d9f84c661a48998821f11dea5
Blauwborst	jaarlijks	2020	0.09	0.06	0.12	0.07	0.1	0.08	0.09	ec39dd21ed020f56b8c9c75fc6fbc5a23d7caabf	cfc59b70fe2b856d9f84c661a48998821f11dea5
Blauwe reiger	driejaarlijks	2007	0.07	0.05	0.1	0.06	0.08	0.06	0.08	4c48d63efbb6abdc61553548fe159a8d84cbb888	8c71bed2c1f1eebb550098e940699666420dc50a
Blauwe reiger	driejaarlijks	2010	0.09	0.06	0.12	0.07	0.1	0.08	0.09	4c48d63efbb6abdc61553548fe159a8d84cbb888	8c71bed2c1f1eebb550098e940699666420dc50a
Blauwe reiger	driejaarlijks	2013	0.08	0.05	0.12	0.07	0.1	0.07	0.09	4c48d63efbb6abdc61553548fe159a8d84cbb888	8c71bed2c1f1eebb550098e940699666420dc50a
Blauwe reiger	driejaarlijks	2016	0.08	0.05	0.12	0.07	0.1	0.08	0.09	4c48d63efbb6abdc61553548fe159a8d84cbb888	8c71bed2c1f1eebb550098e940699666420dc50a
Blauwe reiger	driejaarlijks	2019	0.11	0.07	0.17	0.09	0.14	0.1	0.12	4c48d63efbb6abdc61553548fe159a8d84cbb888	8c71bed2c1f1eebb550098e940699666420dc50a
Blauwe reiger	jaarlijks	2007	0.08	0.05	0.13	0.06	0.1	0.07	0.09	dbecb1120550f5f6efc77cffd9b2e74f7d749af5	2079c200f1784dc66b4e104ff25e1af57d8533d2
Blauwe reiger	jaarlijks	2008	0.07	0.04	0.11	0.05	0.09	0.06	0.08	dbecb1120550f5f6efc77cffd9b2e74f7d749af5	2079c200f1784dc66b4e104ff25e1af57d8533d2
Blauwe reiger	jaarlijks	2009	0.06	0.04	0.1	0.05	0.08	0.06	0.07	dbecb1120550f5f6efc77cffd9b2e74f7d749af5	2079c200f1784dc66b4e104ff25e1af57d8533d2
Blauwe reiger	jaarlijks	2010	0.06	0.04	0.1	0.05	0.08	0.06	0.07	dbecb1120550f5f6efc77cffd9b2e74f7d749af5	2079c200f1784dc66b4e104ff25e1af57d8533d2
Blauwe reiger	jaarlijks	2011	0.1	0.06	0.15	0.08	0.12	0.09	0.11	dbecb1120550f5f6efc77cffd9b2e74f7d749af5	2079c200f1784dc66b4e104ff25e1af57d8533d2
Blauwe reiger	jaarlijks	2012	0.09	0.06	0.14	0.07	0.11	0.08	0.1	dbecb1120550f5f6efc77cffd9b2e74f7d749af5	2079c200f1784dc66b4e104ff25e1af57d8533d2
Blauwe reiger	jaarlijks	2013	0.09	0.05	0.13	0.07	0.11	0.08	0.1	dbecb1120550f5f6efc77cffd9b2e74f7d749af5	2079c200f1784dc66b4e104ff25e1af57d8533d2
Blauwe reiger	jaarlijks	2014	0.08	0.05	0.13	0.07	0.1	0.07	0.09	dbecb1120550f5f6efc77cffd9b2e74f7d749af5	2079c200f1784dc66b4e104ff25e1af57d8533d2
Blauwe reiger	jaarlijks	2015	0.07	0.05	0.12	0.06	0.09	0.07	0.08	dbecb1120550f5f6efc77cffd9b2e74f7d749af5	2079c200f1784dc66b4e104ff25e1af57d8533d2
Blauwe reiger	jaarlijks	2016	0.08	0.05	0.12	0.06	0.1	0.07	0.08	dbecb1120550f5f6efc77cffd9b2e74f7d749af5	2079c200f1784dc66b4e104ff25e1af57d8533d2
Blauwe reiger	jaarlijks	2017	0.07	0.04	0.11	0.05	0.09	0.06	0.08	dbecb1120550f5f6efc77cffd9b2e74f7d749af5	2079c200f1784dc66b4e104ff25e1af57d8533d2
Blauwe reiger	jaarlijks	2018	0.09	0.06	0.15	0.08	0.12	0.08	0.1	dbecb1120550f5f6efc77cffd9b2e74f7d749af5	2079c200f1784dc66b4e104ff25e1af57d8533d2
Blauwe reiger	jaarlijks	2019	0.1	0.06	0.16	0.08	0.12	0.09	0.11	dbecb1120550f5f6efc77cffd9b2e74f7d749af5	2079c200f1784dc66b4e104ff25e1af57d8533d2
Blauwe reiger	jaarlijks	2020	0.11	0.07	0.18	0.09	0.14	0.1	0.13	dbecb1120550f5f6efc77cffd9b2e74f7d749af5	2079c200f1784dc66b4e104ff25e1af57d8533d2
Boerenzwaluw	driejaarlijks	2007	0.49	0.41	0.56	0.45	0.52	0.47	0.5	e8821d0f19e9781221d722e389ab98418e8eaed5	0004fc3f85e501b24a8e030a22854cc860113d17
Boerenzwaluw	driejaarlijks	2010	0.48	0.41	0.56	0.45	0.52	0.47	0.5	e8821d0f19e9781221d722e389ab98418e8eaed5	0004fc3f85e501b24a8e030a22854cc860113d17
Boerenzwaluw	driejaarlijks	2013	0.38	0.33	0.45	0.35	0.41	0.37	0.39	e8821d0f19e9781221d722e389ab98418e8eaed5	0004fc3f85e501b24a8e030a22854cc860113d17
Boerenzwaluw	driejaarlijks	2016	0.51	0.44	0.59	0.47	0.55	0.49	0.53	e8821d0f19e9781221d722e389ab98418e8eaed5	0004fc3f85e501b24a8e030a22854cc860113d17
Boerenzwaluw	driejaarlijks	2019	0.62	0.53	0.73	0.57	0.67	0.6	0.65	e8821d0f19e9781221d722e389ab98418e8eaed5	0004fc3f85e501b24a8e030a22854cc860113d17
Boerenzwaluw	jaarlijks	2007	0.51	0.43	0.6	0.47	0.56	0.49	0.53	402257d56cf5ec1b8de74d211b684c92a763aade	e9d139f64bb497afc48c07f3471cd270e2912023
Boerenzwaluw	jaarlijks	2008	0.44	0.36	0.52	0.4	0.48	0.42	0.46	402257d56cf5ec1b8de74d211b684c92a763aade	e9d139f64bb497afc48c07f3471cd270e2912023
Boerenzwaluw	jaarlijks	2009	0.5	0.42	0.59	0.46	0.54	0.48	0.52	402257d56cf5ec1b8de74d211b684c92a763aade	e9d139f64bb497afc48c07f3471cd270e2912023
Boerenzwaluw	jaarlijks	2010	0.52	0.44	0.62	0.48	0.57	0.5	0.54	402257d56cf5ec1b8de74d211b684c92a763aade	e9d139f64bb497afc48c07f3471cd270e2912023
Boerenzwaluw	jaarlijks	2011	0.5	0.42	0.59	0.45	0.54	0.48	0.52	402257d56cf5ec1b8de74d211b684c92a763aade	e9d139f64bb497afc48c07f3471cd270e2912023
Boerenzwaluw	jaarlijks	2012	0.42	0.35	0.5	0.38	0.46	0.4	0.43	402257d56cf5ec1b8de74d211b684c92a763aade	e9d139f64bb497afc48c07f3471cd270e2912023
Boerenzwaluw	jaarlijks	2013	0.39	0.33	0.46	0.35	0.42	0.37	0.4	402257d56cf5ec1b8de74d211b684c92a763aade	e9d139f64bb497afc48c07f3471cd270e2912023
Boerenzwaluw	jaarlijks	2014	0.36	0.3	0.43	0.33	0.39	0.34	0.37	402257d56cf5ec1b8de74d211b684c92a763aade	e9d139f64bb497afc48c07f3471cd270e2912023
Boerenzwaluw	jaarlijks	2015	0.39	0.32	0.47	0.36	0.43	0.37	0.41	402257d56cf5ec1b8de74d211b684c92a763aade	e9d139f64bb497afc48c07f3471cd270e2912023
Boerenzwaluw	jaarlijks	2016	0.5	0.42	0.59	0.46	0.55	0.48	0.52	402257d56cf5ec1b8de74d211b684c92a763aade	e9d139f64bb497afc48c07f3471cd270e2912023
Boerenzwaluw	jaarlijks	2017	0.49	0.41	0.58	0.45	0.53	0.47	0.51	402257d56cf5ec1b8de74d211b684c92a763aade	e9d139f64bb497afc48c07f3471cd270e2912023
Boerenzwaluw	jaarlijks	2018	0.54	0.45	0.64	0.49	0.59	0.51	0.56	402257d56cf5ec1b8de74d211b684c92a763aade	e9d139f64bb497afc48c07f3471cd270e2912023
Boerenzwaluw	jaarlijks	2019	0.58	0.49	0.69	0.53	0.63	0.56	0.6	402257d56cf5ec1b8de74d211b684c92a763aade	e9d139f64bb497afc48c07f3471cd270e2912023
Boerenzwaluw	jaarlijks	2020	0.66	0.56	0.79	0.61	0.72	0.64	0.69	402257d56cf5ec1b8de74d211b684c92a763aade	e9d139f64bb497afc48c07f3471cd270e2912023
Bonte vliegenvanger	driejaarlijks	2007	0.1	0.07	0.14	0.09	0.12	0.1	0.11	0b26647607a47c8f986bf8dd7821b9a0e62b78cf	5b956f104917fa2bbdb27aa7bbce46d1411479d3
Bonte vliegenvanger	driejaarlijks	2010	0.11	0.08	0.14	0.09	0.13	0.1	0.12	0b26647607a47c8f986bf8dd7821b9a0e62b78cf	5b956f104917fa2bbdb27aa7bbce46d1411479d3
Bonte vliegenvanger	driejaarlijks	2013	0.11	0.08	0.14	0.09	0.13	0.1	0.12	0b26647607a47c8f986bf8dd7821b9a0e62b78cf	5b956f104917fa2bbdb27aa7bbce46d1411479d3
Bonte vliegenvanger	driejaarlijks	2016	0.11	0.08	0.15	0.1	0.13	0.1	0.12	0b26647607a47c8f986bf8dd7821b9a0e62b78cf	5b956f104917fa2bbdb27aa7bbce46d1411479d3
Bonte vliegenvanger	driejaarlijks	2019	0.11	0.08	0.15	0.1	0.13	0.1	0.12	0b26647607a47c8f986bf8dd7821b9a0e62b78cf	5b956f104917fa2bbdb27aa7bbce46d1411479d3
Bonte vliegenvanger	jaarlijks	2007	0.1	0.07	0.13	0.08	0.12	0.09	0.11	6e86044c190b9b1499eed8d717b984a23ca04758	e52191c718e714e8ee403de617bc544c5b7d9600
Bonte vliegenvanger	jaarlijks	2008	0.1	0.07	0.14	0.08	0.12	0.09	0.11	6e86044c190b9b1499eed8d717b984a23ca04758	e52191c718e714e8ee403de617bc544c5b7d9600
Bonte vliegenvanger	jaarlijks	2009	0.1	0.07	0.14	0.09	0.12	0.1	0.11	6e86044c190b9b1499eed8d717b984a23ca04758	e52191c718e714e8ee403de617bc544c5b7d9600
Bonte vliegenvanger	jaarlijks	2010	0.1	0.07	0.14	0.09	0.12	0.1	0.11	6e86044c190b9b1499eed8d717b984a23ca04758	e52191c718e714e8ee403de617bc544c5b7d9600
Bonte vliegenvanger	jaarlijks	2011	0.11	0.08	0.14	0.09	0.12	0.1	0.11	6e86044c190b9b1499eed8d717b984a23ca04758	e52191c718e714e8ee403de617bc544c5b7d9600
Bonte vliegenvanger	jaarlijks	2012	0.11	0.08	0.14	0.09	0.13	0.1	0.12	6e86044c190b9b1499eed8d717b984a23ca04758	e52191c718e714e8ee403de617bc544c5b7d9600
Bonte vliegenvanger	jaarlijks	2013	0.11	0.08	0.14	0.09	0.13	0.1	0.12	6e86044c190b9b1499eed8d717b984a23ca04758	e52191c718e714e8ee403de617bc544c5b7d9600
Bonte vliegenvanger	jaarlijks	2014	0.11	0.08	0.15	0.09	0.13	0.1	0.12	6e86044c190b9b1499eed8d717b984a23ca04758	e52191c718e714e8ee403de617bc544c5b7d9600
Bonte vliegenvanger	jaarlijks	2015	0.11	0.08	0.15	0.09	0.13	0.1	0.12	6e86044c190b9b1499eed8d717b984a23ca04758	e52191c718e714e8ee403de617bc544c5b7d9600
Bonte vliegenvanger	jaarlijks	2016	0.11	0.08	0.15	0.09	0.13	0.1	0.12	6e86044c190b9b1499eed8d717b984a23ca04758	e52191c718e714e8ee403de617bc544c5b7d9600
Bonte vliegenvanger	jaarlijks	2017	0.11	0.08	0.15	0.1	0.13	0.1	0.12	6e86044c190b9b1499eed8d717b984a23ca04758	e52191c718e714e8ee403de617bc544c5b7d9600
Bonte vliegenvanger	jaarlijks	2018	0.11	0.09	0.16	0.1	0.13	0.11	0.12	6e86044c190b9b1499eed8d717b984a23ca04758	e52191c718e714e8ee403de617bc544c5b7d9600
Bonte vliegenvanger	jaarlijks	2019	0.11	0.08	0.16	0.1	0.13	0.11	0.12	6e86044c190b9b1499eed8d717b984a23ca04758	e52191c718e714e8ee403de617bc544c5b7d9600
Bonte vliegenvanger	jaarlijks	2020	0.12	0.09	0.17	0.1	0.14	0.11	0.12	6e86044c190b9b1499eed8d717b984a23ca04758	e52191c718e714e8ee403de617bc544c5b7d9600
Boomklever	driejaarlijks	2007	0.15	0.12	0.18	0.13	0.16	0.14	0.15	1b135074451052b3e8e35e874fd290192bb2a13f	215d08d91798f87c81e0094775b01c79cece9639
Boomklever	driejaarlijks	2010	0.16	0.14	0.2	0.15	0.18	0.16	0.17	1b135074451052b3e8e35e874fd290192bb2a13f	215d08d91798f87c81e0094775b01c79cece9639
Boomklever	driejaarlijks	2013	0.19	0.16	0.22	0.17	0.2	0.18	0.2	1b135074451052b3e8e35e874fd290192bb2a13f	215d08d91798f87c81e0094775b01c79cece9639
Boomklever	driejaarlijks	2016	0.21	0.18	0.25	0.19	0.23	0.2	0.22	1b135074451052b3e8e35e874fd290192bb2a13f	215d08d91798f87c81e0094775b01c79cece9639
Boomklever	driejaarlijks	2019	0.21	0.17	0.25	0.19	0.23	0.2	0.22	1b135074451052b3e8e35e874fd290192bb2a13f	215d08d91798f87c81e0094775b01c79cece9639
Boomklever	jaarlijks	2007	0.15	0.13	0.19	0.14	0.17	0.14	0.16	426244b37ec6c0b94b93b9f44ae99c58750c21df	47d3af3cb69b5352f04f82b18aea3e506e29146e
Boomklever	jaarlijks	2008	0.14	0.12	0.17	0.13	0.16	0.14	0.15	426244b37ec6c0b94b93b9f44ae99c58750c21df	47d3af3cb69b5352f04f82b18aea3e506e29146e
Boomklever	jaarlijks	2009	0.13	0.11	0.16	0.12	0.15	0.13	0.14	426244b37ec6c0b94b93b9f44ae99c58750c21df	47d3af3cb69b5352f04f82b18aea3e506e29146e
Boomklever	jaarlijks	2010	0.15	0.12	0.18	0.14	0.17	0.14	0.16	426244b37ec6c0b94b93b9f44ae99c58750c21df	47d3af3cb69b5352f04f82b18aea3e506e29146e
Boomklever	jaarlijks	2011	0.16	0.13	0.19	0.14	0.18	0.15	0.17	426244b37ec6c0b94b93b9f44ae99c58750c21df	47d3af3cb69b5352f04f82b18aea3e506e29146e
Boomklever	jaarlijks	2012	0.16	0.13	0.2	0.15	0.18	0.16	0.17	426244b37ec6c0b94b93b9f44ae99c58750c21df	47d3af3cb69b5352f04f82b18aea3e506e29146e
Boomklever	jaarlijks	2013	0.17	0.14	0.2	0.15	0.19	0.16	0.18	426244b37ec6c0b94b93b9f44ae99c58750c21df	47d3af3cb69b5352f04f82b18aea3e506e29146e
Boomklever	jaarlijks	2014	0.19	0.16	0.23	0.17	0.21	0.18	0.2	426244b37ec6c0b94b93b9f44ae99c58750c21df	47d3af3cb69b5352f04f82b18aea3e506e29146e
Boomklever	jaarlijks	2015	0.2	0.17	0.25	0.18	0.22	0.19	0.21	426244b37ec6c0b94b93b9f44ae99c58750c21df	47d3af3cb69b5352f04f82b18aea3e506e29146e
Boomklever	jaarlijks	2016	0.2	0.17	0.25	0.18	0.22	0.19	0.21	426244b37ec6c0b94b93b9f44ae99c58750c21df	47d3af3cb69b5352f04f82b18aea3e506e29146e
Boomklever	jaarlijks	2017	0.21	0.18	0.26	0.19	0.24	0.2	0.22	426244b37ec6c0b94b93b9f44ae99c58750c21df	47d3af3cb69b5352f04f82b18aea3e506e29146e
Boomklever	jaarlijks	2018	0.22	0.18	0.27	0.2	0.24	0.21	0.23	426244b37ec6c0b94b93b9f44ae99c58750c21df	47d3af3cb69b5352f04f82b18aea3e506e29146e
Boomklever	jaarlijks	2019	0.22	0.18	0.26	0.2	0.24	0.21	0.22	426244b37ec6c0b94b93b9f44ae99c58750c21df	47d3af3cb69b5352f04f82b18aea3e506e29146e
Boomklever	jaarlijks	2020	0.2	0.16	0.24	0.17	0.22	0.18	0.21	426244b37ec6c0b94b93b9f44ae99c58750c21df	47d3af3cb69b5352f04f82b18aea3e506e29146e
Boomkruiper	driejaarlijks	2007	0.1	0.09	0.12	0.1	0.11	0.1	0.11	429fa0da7e5c07f70275fea803500bc419712d26	1b485849f91cc9fef9bba4f005b9cf72fa967a69
Boomkruiper	driejaarlijks	2010	0.11	0.1	0.12	0.1	0.12	0.11	0.11	429fa0da7e5c07f70275fea803500bc419712d26	1b485849f91cc9fef9bba4f005b9cf72fa967a69
Boomkruiper	driejaarlijks	2013	0.11	0.1	0.12	0.1	0.12	0.11	0.11	429fa0da7e5c07f70275fea803500bc419712d26	1b485849f91cc9fef9bba4f005b9cf72fa967a69
Boomkruiper	driejaarlijks	2016	0.11	0.1	0.12	0.1	0.12	0.11	0.11	429fa0da7e5c07f70275fea803500bc419712d26	1b485849f91cc9fef9bba4f005b9cf72fa967a69
Boomkruiper	driejaarlijks	2019	0.11	0.1	0.13	0.11	0.12	0.11	0.12	429fa0da7e5c07f70275fea803500bc419712d26	1b485849f91cc9fef9bba4f005b9cf72fa967a69
Boomkruiper	jaarlijks	2007	0.09	0.08	0.11	0.09	0.1	0.09	0.1	58b4253c3dd76632d176361c598971eccbb8614a	7aa1265ebe8d56d442a162082a63caed3de1db38
