soort	frequentie	jaar	schatting	lcl90	ucl90	lcl60	ucl60	lcl30	ucl30	analyse	status
Aalscholver	driejaarlijks	2007	0.04	0.02	0.08	0.03	0.06	0.04	0.05	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2010	0.05	0.03	0.08	0.04	0.06	0.04	0.05	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2013	0.06	0.03	0.09	0.04	0.07	0.05	0.06	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2016	0.07	0.04	0.11	0.05	0.08	0.06	0.07	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2019	0.07	0.04	0.12	0.06	0.09	0.06	0.08	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	jaarlijks	2007	0.04	0.02	0.08	0.03	0.06	0.04	0.05	d6c3492e678e8a08410e6406ea61074ec5becbdd	23e3c4922da8ad126bfa7b679860c03bdc20ec61
Aalscholver	jaarlijks	2008	0.04	0.02	0.07	0.03	0.05	0.03	0.05	d6c3492e678e8a08410e6406ea61074ec5becbdd	23e3c4922da8ad126bfa7b679860c03bdc20ec61
Aalscholver	jaarlijks	2009	0.04	0.02	0.07	0.03	0.06	0.04	0.05	d6c3492e678e8a08410e6406ea61074ec5becbdd	23e3c4922da8ad126bfa7b679860c03bdc20ec61
Aalscholver	jaarlijks	2010	0.04	0.02	0.07	0.03	0.06	0.04	0.05	d6c3492e678e8a08410e6406ea61074ec5becbdd	23e3c4922da8ad126bfa7b679860c03bdc20ec61
Aalscholver	jaarlijks	2011	0.05	0.03	0.08	0.03	0.06	0.04	0.05	d6c3492e678e8a08410e6406ea61074ec5becbdd	23e3c4922da8ad126bfa7b679860c03bdc20ec61
Aalscholver	jaarlijks	2012	0.05	0.03	0.08	0.04	0.06	0.04	0.05	d6c3492e678e8a08410e6406ea61074ec5becbdd	23e3c4922da8ad126bfa7b679860c03bdc20ec61
Aalscholver	jaarlijks	2013	0.05	0.03	0.09	0.04	0.07	0.05	0.06	d6c3492e678e8a08410e6406ea61074ec5becbdd	23e3c4922da8ad126bfa7b679860c03bdc20ec61
Aalscholver	jaarlijks	2014	0.05	0.03	0.09	0.04	0.07	0.05	0.06	d6c3492e678e8a08410e6406ea61074ec5becbdd	23e3c4922da8ad126bfa7b679860c03bdc20ec61
Aalscholver	jaarlijks	2015	0.05	0.03	0.09	0.04	0.07	0.05	0.06	d6c3492e678e8a08410e6406ea61074ec5becbdd	23e3c4922da8ad126bfa7b679860c03bdc20ec61
Aalscholver	jaarlijks	2016	0.06	0.03	0.09	0.04	0.08	0.05	0.06	d6c3492e678e8a08410e6406ea61074ec5becbdd	23e3c4922da8ad126bfa7b679860c03bdc20ec61
