soort	stratum	gewicht	aanwezig	relevant	onderzocht	totaal	bezoeken
Dodaars	Heide en duin	0.235	28.4	13	91	199	866
Dodaars	Landbouw	0.452	44.4	3	426	6311	172
Dodaars	Moeras en water	0.223	29.1	17	80	137	1233
Ekster	Bos	0.013	63.8	38	190	319	2966
Ekster	Heide en duin	0.015	76.5	35	91	199	1973
Ekster	Landbouw	0.853	4370.3	295	426	6311	18373
Ekster	Moeras en water	0.018	90.8	53	80	137	3240
Ekster	Suburbaan	0.032	162.6	55	68	201	3213
Ekster	Urbaan	0.068	344.3	72	87	416	4338
Fazant	Bos	0.015	63.8	38	190	319	2712
Fazant	Heide en duin	0.018	76.5	35	91	199	2407
Fazant	Landbouw	0.928	4014.7	271	426	6311	17325
Fazant	Moeras en water	0.016	66.8	39	80	137	2505
Fazant	Suburbaan	0.012	47.3	16	68	201	1015
Fazant	Urbaan	0.011	43	9	87	416	701
Fitis	Bos	0.138	92.3	55	190	319	4039
Fitis	Heide en duin	0.237	161.8	74	91	199	4516
Fitis	Landbouw	0.497	325.9	22	426	6311	1590
Fitis	Moeras en water	0.068	44.5	26	80	137	1800
Fitis	Suburbaan	0.061	38.4	13	68	201	581
Fuut	Bos	0.062	10.1	6	190	319	552
Fuut	Heide en duin	0.115	19.7	9	91	199	546
Fuut	Landbouw	0.464	74.1	5	426	6311	342
Fuut	Moeras en water	0.359	68.5	40	80	137	2500
Gaai	Bos	0.065	213.2	127	190	319	8286
Gaai	Heide en duin	0.039	126.8	58	91	199	3743
Gaai	Landbouw	0.788	2577.7	174	426	6311	11687
Gaai	Moeras en water	0.024	77.1	45	80	137	2857
Gaai	Suburbaan	0.026	82.8	28	68	201	1635
Gaai	Urbaan	0.057	181.7	38	87	416	2585
Geelgors	Bos	0.009	6.7	4	190	319	330
Geelgors	Heide en duin	0.022	17.5	8	91	199	522
Geelgors	Landbouw	0.959	859.2	58	426	6311	3701
Geelgors	Moeras en water	0.01	6.8	4	80	137	245
Gekraagde roodstaart	Bos	0.156	42	25	190	319	1364
Gekraagde roodstaart	Heide en duin	0.269	70	32	91	199	1569
Gekraagde roodstaart	Landbouw	0.549	133.3	9	426	6311	418
Gekraagde roodstaart	Moeras en water	0.026	5.1	3	80	137	174
Gele kwikstaart	Landbouw	0.994	2429.6	164	426	6311	10831
Gele kwikstaart	Moeras en water	0.006	12	7	80	137	453
Gierzwaluw	Bos	0.011	8.4	5	190	319	241
Gierzwaluw	Heide en duin	0.029	24.1	11	91	199	471
Gierzwaluw	Landbouw	0.566	503.7	34	426	6311	1617
Gierzwaluw	Moeras en water	0.038	32.5	19	80	137	905
Gierzwaluw	Suburbaan	0.068	59.1	20	68	201	887
Gierzwaluw	Urbaan	0.288	263	55	87	416	2211
Glanskop	Bos	0.322	42	25	190	319	1606
Glanskop	Landbouw	0.678	74.1	5	426	6311	370
Goudhaan	Bos	0.178	149.4	89	190	319	6135
Goudhaan	Heide en duin	0.073	59	27	91	199	1964
Goudhaan	Landbouw	0.561	459.3	31	426	6311	2258
Goudhaan	Moeras en water	0.028	22.3	13	80	137	792
Goudhaan	Suburbaan	0.053	41.4	14	68	201	947
Goudhaan	Urbaan	0.108	86.1	18	87	416	1480
Grasmus	Bos	0.009	25.2	15	190	319	671
Grasmus	Heide en duin	0.025	74.4	34	91	199	1256
Grasmus	Landbouw	0.92	2800	189	426	6311	8566
