soort,frequentie,referentie,naar,schatting,lcl,ucl,klasse,interpretatie,wijziging,analysis,status
Aalscholver,driejaarlijks,2007,2010,1.132,0.794,1.615,?+,mogelijke toename,+13% (-21%; +61%),84033bdf85bbc6b4e7a2a7ca886146fcf774472d,6589fe39402c736bd7a2c4e039437c0506fb201f
Aalscholver,driejaarlijks,2007,2013,1.499,0.972,2.312,?+,mogelijke toename,+50% (-3%; +131%),84033bdf85bbc6b4e7a2a7ca886146fcf774472d,6589fe39402c736bd7a2c4e039437c0506fb201f
Aalscholver,driejaarlijks,2007,2016,2.011,1.199,3.373,+,toename,+100% (+20%; +240%),84033bdf85bbc6b4e7a2a7ca886146fcf774472d,6589fe39402c736bd7a2c4e039437c0506fb201f
Aalscholver,driejaarlijks,2007,2019,2.107,1.223,3.63,+,toename,+110% (+20%; +260%),84033bdf85bbc6b4e7a2a7ca886146fcf774472d,6589fe39402c736bd7a2c4e039437c0506fb201f
Aalscholver,driejaarlijks,2007,2022,1.62,0.888,2.956,?+,mogelijke toename,+62% (-11%; +196%),84033bdf85bbc6b4e7a2a7ca886146fcf774472d,6589fe39402c736bd7a2c4e039437c0506fb201f
Aalscholver,driejaarlijks,2010,2013,1.324,0.933,1.879,?+,mogelijke toename,+32% (-7%; +88%),84033bdf85bbc6b4e7a2a7ca886146fcf774472d,6589fe39402c736bd7a2c4e039437c0506fb201f
Aalscholver,driejaarlijks,2010,2016,1.776,1.122,2.811,+,toename,+78% (+12%; +181%),84033bdf85bbc6b4e7a2a7ca886146fcf774472d,6589fe39402c736bd7a2c4e039437c0506fb201f
Aalscholver,driejaarlijks,2010,2019,1.861,1.138,3.044,+,toename,+90% (+10%; +200%),84033bdf85bbc6b4e7a2a7ca886146fcf774472d,6589fe39402c736bd7a2c4e039437c0506fb201f
Aalscholver,driejaarlijks,2010,2022,1.43,0.812,2.52,?+,mogelijke toename,+43% (-19%; +152%),84033bdf85bbc6b4e7a2a7ca886146fcf774472d,6589fe39402c736bd7a2c4e039437c0506fb201f
Aalscholver,driejaarlijks,2013,2016,1.341,0.957,1.88,?+,mogelijke toename,+34% (-4%; +88%),84033bdf85bbc6b4e7a2a7ca886146fcf774472d,6589fe39402c736bd7a2c4e039437c0506fb201f
Aalscholver,driejaarlijks,2013,2019,1.406,0.945,2.09,?+,mogelijke toename,+41% (-5%; +109%),84033bdf85bbc6b4e7a2a7ca886146fcf774472d,6589fe39402c736bd7a2c4e039437c0506fb201f
Aalscholver,driejaarlijks,2013,2022,1.08,0.625,1.867,?,onduidelijk,+10% (-40%; +90%),84033bdf85bbc6b4e7a2a7ca886146fcf774472d,6589fe39402c736bd7a2c4e039437c0506fb201f
Aalscholver,driejaarlijks,2016,2019,1.048,0.77,1.426,?+,mogelijke toename,+5% (-23%; +43%),84033bdf85bbc6b4e7a2a7ca886146fcf774472d,6589fe39402c736bd7a2c4e039437c0506fb201f
Aalscholver,driejaarlijks,2016,2022,0.805,0.468,1.387,?,onduidelijk,-19% (-53%; +39%),84033bdf85bbc6b4e7a2a7ca886146fcf774472d,6589fe39402c736bd7a2c4e039437c0506fb201f
Aalscholver,driejaarlijks,2019,2022,0.769,0.481,1.227,?-,mogelijke afname,-23% (-52%; +23%),84033bdf85bbc6b4e7a2a7ca886146fcf774472d,6589fe39402c736bd7a2c4e039437c0506fb201f
Aalscholver,jaarlijks,2007,2008,0.931,0.664,1.304,?-,mogelijke afname,-7% (-34%; +30%),8280f25548d5726cee7a461bce703fa42d04ac8f,4eb7b70820b16c1fd72c1dc4b2535f8a60d8c1e9
Aalscholver,jaarlijks,2007,2009,0.953,0.613,1.483,?,onduidelijk,-5% (-39%; +48%),8280f25548d5726cee7a461bce703fa42d04ac8f,4eb7b70820b16c1fd72c1dc4b2535f8a60d8c1e9
Aalscholver,jaarlijks,2007,2010,0.995,0.605,1.637,?,onduidelijk,-0% (-40%; +60%),8280f25548d5726cee7a461bce703fa42d04ac8f,4eb7b70820b16c1fd72c1dc4b2535f8a60d8c1e9
Aalscholver,jaarlijks,2007,2011,1.162,0.693,1.948,?,onduidelijk,+20% (-30%; +90%),8280f25548d5726cee7a461bce703fa42d04ac8f,4eb7b70820b16c1fd72c1dc4b2535f8a60d8c1e9
Aalscholver,jaarlijks,2007,2012,1.267,0.739,2.173,?,onduidelijk,+27% (-26%; +117%),8280f25548d5726cee7a461bce703fa42d04ac8f,4eb7b70820b16c1fd72c1dc4b2535f8a60d8c1e9
Aalscholver,jaarlijks,2007,2013,1.449,0.837,2.508,?+,mogelijke toename,+45% (-16%; +151%),8280f25548d5726cee7a461bce703fa42d04ac8f,4eb7b70820b16c1fd72c1dc4b2535f8a60d8c1e9
Aalscholver,jaarlijks,2007,2014,1.374,0.785,2.407,?+,mogelijke toename,+37% (-22%; +141%),8280f25548d5726cee7a461bce703fa42d04ac8f,4eb7b70820b16c1fd72c1dc4b2535f8a60d8c1e9
Aalscholver,jaarlijks,2007,2015,1.443,0.813,2.559,?+,mogelijke toename,+44% (-19%; +156%),8280f25548d5726cee7a461bce703fa42d04ac8f,4eb7b70820b16c1fd72c1dc4b2535f8a60d8c1e9
Aalscholver,jaarlijks,2007,2016,1.619,0.916,2.863,?+,mogelijke toename,+62% (-8%; +186%),8280f25548d5726cee7a461bce703fa42d04ac8f,4eb7b70820b16c1fd72c1dc4b2535f8a60d8c1e9
Aalscholver,jaarlijks,2007,2017,2.136,1.165,3.917,+,toename,+110% (+20%; +290%),8280f25548d5726cee7a461bce703fa42d04ac8f,4eb7b70820b16c1fd72c1dc4b2535f8a60d8c1e9
Aalscholver,jaarlijks,2007,2018,2.274,1.207,4.283,+,toename,+130% (+20%; +330%),8280f25548d5726cee7a461bce703fa42d04ac8f,4eb7b70820b16c1fd72c1dc4b2535f8a60d8c1e9
Aalscholver,jaarlijks,2007,2019,2.265,1.207,4.252,+,toename,+130% (+20%; +330%),8280f25548d5726cee7a461bce703fa42d04ac8f,4eb7b70820b16c1fd72c1dc4b2535f8a60d8c1e9
Aalscholver,jaarlijks,2007,2020,2.13,1.144,3.966,+,toename,+110% (+10%; +300%),8280f25548d5726cee7a461bce703fa42d04ac8f,4eb7b70820b16c1fd72c1dc4b2535f8a60d8c1e9
Aalscholver,jaarlijks,2007,2021,1.966,1.071,3.609,+,toename,+100% (+10%; +260%),8280f25548d5726cee7a461bce703fa42d04ac8f,4eb7b70820b16c1fd72c1dc4b2535f8a60d8c1e9
