soort,frequentie,schatting,lcl,ucl,jaarlijks,looptijd,klasse,verloop,analysis,status
Bosrietzanger,jaarlijks,0.993,0.968,1.019,-0.7% (-3.2%; +1.9%),-10% (-38%; +32%),?-,niet-lineair,49595d88fd5b0b8b9cdae872a7a347af6078a8c7,6cde0795a72cbfebf1f33cf744c45754f80c47bc
Bruine kiekendief,driejaarlijks,1.004,0.978,1.032,+0.4% (-2.2%; +3.2%),+7% (-29%; +60%),?,lineair,fb4e7a94e003a419e28cc2d5d02105a6d3d09cd9,2ac0bbb479630931796a0fb0ca5cbdab92b95a13
Bruine kiekendief,jaarlijks,1.006,0.979,1.033,+0.6% (-2.1%; +3.3%),+9% (-27%; +64%),?,lineair,44cc98f612690f87dcfb506cdf7014d51ff21d3e,2b5e46bddc21b0555f05e2b666d0a74d8735bc74
Buizerd,driejaarlijks,1.04,1.031,1.049,+4.0% (+3.1%; +4.9%),+80.2% (+58.0%; +105.4%),++,niet-lineair,ec6a2e8efc2ff3e4549cf4a02dd7fffc8bff5d5c,cecef723dbed1b6335236604cb04d6b0409d0480
Buizerd,jaarlijks,1.041,1.032,1.051,+4.1% (+3.2%; +5.1%),+83.6% (+61.1%; +109.5%),++,niet-lineair,830d575d6221700082a1ba4ab6a8628dd10f8ffc,cb138f339fbbc93178704edbd457b17721d0098a
Canadese gans,driejaarlijks,1.02,1.009,1.032,+2.0% (+0.9%; +3.2%),+35% (+14%; +60%),+,lineair,6199afcd7e01a230dabb9194d8b604ff6ebca3f5,eb6d27c505879d4f24935b470d692b96e8c5672d
Canadese gans,jaarlijks,1.023,1.011,1.034,+2.3% (+1.1%; +3.4%),+40% (+18%; +66%),+,lineair,ab29ccc3442026586cfedc5d67646dcc2ae3ad79,620cf1fe02c2d9f08386ffcf87bcf7179f4a83db
Cetti's zanger,driejaarlijks,1.175,1.127,1.225,+17.5% (+12.7%; +22.5%),+1020% (+500%; +2000%),++,niet-lineair,a0b2403b13d3a5b7c558032a5005bad33ba3956c,1394832cdb0aa3f9a5a9f69313c8d01d48ad6eff
Cetti's zanger,jaarlijks,1.183,1.134,1.236,+18% (+13%; +24%),+1200% (+600%; +2300%),++,niet-lineair,6124c25f4fd44a5c27a0d8a3beae9722c7b76a61,1772b6fa487bdda2d815fc70f8722cfe2d78971c
Dodaars,driejaarlijks,0.974,0.926,1.024,-2.6% (-7.4%; +2.4%),-30% (-70%; +40%),?,niet-lineair,eedc56a3424fba2c8f7546fcea4b84764b3aaa9c,4e5f426e64ff4c9573ee9effe3f284337c23d8b2
Dodaars,jaarlijks,0.975,0.926,1.027,-2% (-7%; +3%),-30% (-70%; +50%),?,niet-lineair,e22fedf64825c6c13f652834766a132d34be13af,b8d49e2b90c1369076d0778009b343639efa20c7
Ekster,driejaarlijks,0.999,0.995,1.003,-0.13% (-0.50%; +0.25%),-2% (-7%; +4%),~,niet-lineair,f8f3c16a63ff385895c277bb7e63587aa37ae3a8,3696a3b8b95d6f2d6e72d362a959638391604849
Ekster,jaarlijks,0.999,0.995,1.003,-0.09% (-0.46%; +0.29%),-1% (-7%; +4%),~,niet-lineair,e5c1609580fe882b71868ca2ea5dea996ba4bb59,d5088e724ae91db8b2579ae7055cb6b091716d79
Fazant,driejaarlijks,0.995,0.991,0.999,-0.51% (-0.92%; -0.09%),-7.3% (-12.9%; -1.3%),-~,niet-lineair,00219e31f9d101a8f655ff147df21b213c55c2d2,ed1f26fe6d353a433db1344a63738e1e9c87072c
Fazant,jaarlijks,0.995,0.991,0.999,-0.48% (-0.89%; -0.06%),-6.9% (-12.5%; -0.9%),-~,niet-lineair,e7975c4958f1688ddf853762b854f66b32c54403,97f9c407f59f552b34e4e3764853dd410a13e488
Fitis,driejaarlijks,0.944,0.929,0.959,-5.6% (-7.1%; -4.1%),-58% (-67%; -47%),--,lineair,97db979225f9dc78db992cec5bfad05f29334d14,cbdcc928fde399e2ea3d53c7e5c4019bd3ec25b9
Fitis,jaarlijks,0.942,0.927,0.957,-5.8% (-7.3%; -4.3%),-59% (-68%; -48%),--,niet-lineair,d294da081a1191e17fa37d7b7c9159c7b4d3e778,f8e4a32ac1b84147aec03ccb5393b4fbf0d7971a
Fuut,driejaarlijks,0.986,0.965,1.007,-1.4% (-3.5%; +0.7%),-19% (-42%; +11%),?-,niet-lineair,54ae33c02f6330c1b17bfbef30a032c11f91237d,56ed3e87d5241e93b810c2e002b0b1ed0f179103
Fuut,jaarlijks,0.986,0.966,1.006,-1.4% (-3.4%; +0.6%),-20% (-40%; +9%),?-,niet-lineair,a026e2d28ea92609928b2f867f77b328d76a18e4,7ff81d70368921b3d95de3f61da296c813dd2178
Gaai,driejaarlijks,0.991,0.983,1,-0.86% (-1.68%; -0.04%),-12% (-22%; -1%),-~,niet-lineair,5c83d0cd4f235a2c8e6d9033056aeaf32d104e03,57ef47822508e8022a66ba03ffe733c8324cd35a
Gaai,jaarlijks,0.993,0.985,1.001,-0.68% (-1.49%; +0.14%),-10% (-20%; +2%),~,niet-lineair,34746a768821e058adc7ec0c8a42906cdc4fcf5d,575b848d22a9f2353a4dde4351443c0a1dd0a26c
Geelgors,driejaarlijks,0.976,0.965,0.987,-2.4% (-3.5%; -1.3%),-31% (-42%; -18%),-,niet-lineair,fcfb938cfe876a2c9186091f88865a6766cbc923,4d367debe0baea57c9f805d900b29b67820c2c3d
Geelgors,jaarlijks,0.976,0.965,0.987,-2.4% (-3.5%; -1.3%),-30% (-41%; -18%),-,niet-lineair,394a6a0dc6f560d37bb7badcc781583e437a4a87,99c949e66f83c2b5804553dbe59d6219bb13db14
Gekraagde roodstaart,driejaarlijks,1.017,0.995,1.039,+1.7% (-0.5%; +3.9%),+28% (-8%; +78%),?+,niet-lineair,bbf6ddfd38c29d5e9bd94c6896107f741bc20251,0d2b93044621b9af534e849d9968e781fe4896c1
Gekraagde roodstaart,jaarlijks,1.016,0.994,1.039,+1.6% (-0.6%; +3.9%),+28% (-8%; +77%),?+,niet-lineair,9bb204456fc975c58005d3dfd778da01ede80cc1,e306493e21ceb13e15094d582443bd1b073db1b7
Gele kwikstaart,driejaarlijks,0.984,0.977,0.991,-1.6% (-2.3%; -0.9%),-21% (-29%; -13%),-,lineair,a9ceec7884cf07f3744cc9222205658f751f2f0a,4561f3b64b8108ebe2607c5f8b1baa6b6adfef5f
Gele kwikstaart,jaarlijks,0.984,0.978,0.991,-1.6% (-2.2%; -0.9%),-21% (-29%; -12%),-,niet-lineair,a82d75c1bda1aa5463387829f1c01fe8076b561e,4d04cb143aef7630c30191a4d66ba9b363f3bdf7
Gierzwaluw,driejaarlijks,1.009,0.988,1.032,+0.9% (-1.2%; +3.2%),+15% (-17%; +59%),?+,niet-lineair,d6f92d197bbb3f8cee19c93081c7da8743830980,5d6b5caeea27fa2ea8c44a94146af09c05b9abf6
Gierzwaluw,jaarlijks,1.008,0.986,1.03,+0.8% (-1.4%; +3.0%),+12% (-19%; +55%),?+,niet-lineair,b778c9c94eecc1e7f839f373a9e5165d89b18942,00580d2e60dd681702e843e7dfca310bd8149eda
Glanskop,driejaarlijks,1.007,0.973,1.043,+0.7% (-2.7%; +4.3%),+10% (-30%; +90%),?,niet-lineair,e6c076df45ea23777dcdc937536f5e132be00a44,8b4ddccdef7f24ca9f7b18b0972c01ac7c8782b0
Glanskop,jaarlijks,1.009,0.974,1.045,+0.9% (-2.6%; +4.5%),+10% (-30%; +90%),?,mogelijk niet-lineair,e108a028dc11a30dfae625a547c8e6129f33abcb,626b1ab4ee7a14a3b4d959e1249dfb11920eb456
Goudhaan,driejaarlijks,0.977,0.962,0.993,-2.3% (-3.8%; -0.7%),-29% (-44%; -10%),-,niet-lineair,eb3ff393c397688a203415c1d1985241315e5b1e,42d75380b5cd83fd35158d79da3ee792307c6dcd
Goudhaan,jaarlijks,0.978,0.963,0.994,-2.2% (-3.7%; -0.6%),-28% (-44%; -9%),-,niet-lineair,5f37ff3f821f0fba13d29245f6fbf072dcb8de37,6f4b6f4b40e4f5fd07adabcd6f137d9b0fcbc558
Grasmus,driejaarlijks,1.02,1.013,1.027,+2.0% (+1.3%; +2.7%),+34% (+21%; +48%),+,niet-lineair,165ec3da3c76d9ab9feac1cf4bf431ee680e061b,6a28ef1b3cd313752a29da5fa3535a1ef3890c7f
Grasmus,jaarlijks,1.02,1.013,1.027,+2.0% (+1.3%; +2.7%),+34% (+22%; +49%),+,niet-lineair,715904193bb53afa7e425dbd7381fff8cacd8d6c,db49ff1132458c4c990f9959b59771155aea885a
Graspieper,driejaarlijks,0.979,0.969,0.989,-2.1% (-3.1%; -1.1%),-27% (-38%; -15%),-,niet-lineair,26b3e3dd7e51021f9b17e820b154259ab50fa4be,72f968a51b4d5923dc698a61579a052c34fa593d
Graspieper,jaarlijks,0.981,0.971,0.991,-1.9% (-2.9%; -0.9%),-25% (-36%; -13%),-,niet-lineair,3eef65babfcf7578c161b341b0333a4f0cafec10,43c6af5da452922bf7fec4e4eb13b767109f5ae7
Grauwe gans,driejaarlijks,1.017,0.99,1.045,+1.7% (-1.0%; +4.5%),+30% (-10%; +90%),?+,niet-lineair,bdd6680bc224b988086d2bbb7481455c9b3edbed,7eb792fa6b064537d69d3ce32803d9f2fd88708d
Grauwe gans,jaarlijks,1.02,0.993,1.048,+2.0% (-0.7%; +4.8%),+34% (-11%; +102%),?+,niet-lineair,9650969380e25fd289eaf2c6e3d0871c3c28459a,52c4bea09b760464b4df84dbe8057acd94e39ee1
Groene specht,driejaarlijks,0.993,0.987,0.998,-0.73% (-1.30%; -0.15%),-10.4% (-17.8%; -2.3%),-~,niet-lineair,4f0a13c1886638f09902958ebb212650fd1b8158,4ec6604c92801b27a837c486451c0e13b3f7f1b2
Groene specht,jaarlijks,0.993,0.988,0.999,-0.68% (-1.24%; -0.10%),-9.7% (-17.1%; -1.5%),-~,niet-lineair,6c42bda94818696dedb399f7f718ffe0df2bd5ee,9a405c781122e01bc0fdd650507667dc95237682
Groenling,driejaarlijks,0.988,0.981,0.996,-1.16% (-1.88%; -0.44%),-16% (-25%; -6%),-~,niet-lineair,6c41f2a43723f3d1dbd1175f2d1d0d615efaa675,6a4cdbc40c0d1004e08adf78fb19e9698f976ad3
Groenling,jaarlijks,0.989,0.982,0.997,-1.06% (-1.78%; -0.35%),-15% (-24%; -5%),-~,niet-lineair,59f5c495db499e4373fdf46e74948d12c39a48d8,54a392b9792fcb9bab879c044874f2bad648010b
Grote bonte specht,driejaarlijks,1.024,1.017,1.031,+2.4% (+1.7%; +3.1%),+43% (+28%; +59%),+,lineair,d92b00f5e9e57f595f97fe4c80c8671e813ce2ba,74a4bc08046f41eecf5eba3ed2ee02fa93ecf64a
Grote bonte specht,jaarlijks,1.025,1.017,1.032,+2.5% (+1.7%; +3.2%),+44% (+30%; +60%),+,mogelijk niet-lineair,1699e99ff6355eef9661a773f375636decabb030,990ebbf6bbc8a228049b34591f8245b7c31d397b
Grote lijster,driejaarlijks,0.925,0.908,0.941,-7.5% (-9.2%; -5.9%),-69% (-76%; -60%),--,lineair,291c86fa56d6b0a2a1586f4a440ce9ce96521a2e,cca007dbfdab4113b41f9619cbd235e9be8da128
Grote lijster,jaarlijks,0.923,0.907,0.94,-7.7% (-9.3%; -6.0%),-70% (-77%; -60%),--,niet-lineair,2935d55b3a4cdc3449e901ff03467edc1c916107,57fdf8218296b3d7181ba39c9007cfdde16fffa2
Grutto,driejaarlijks,0.964,0.95,0.979,-3.6% (-5.0%; -2.1%),-42% (-54%; -28%),--,niet-lineair,860db3f84529514dbe4158ba73665fd913ba5d91,bd93b48b8f46c09a32bec375fdcef73ee01bf8ac
Grutto,jaarlijks,0.965,0.951,0.979,-3.5% (-4.9%; -2.1%),-41% (-53%; -27%),--,niet-lineair,3371188f4108a5358bea1228b704013ac95a6293,0ae421bd24af4d1d5cb28d39fe92d19716603919
Halsbandparkiet,driejaarlijks,1.082,1.043,1.122,+8.18% (+4.28%; +12.23%),+230% (+90%; +460%),++,lineair,bad8897e75519d10046aab267f104782349928a3,23b5f2385025839b7515f60e604a8d2f83c45294
Halsbandparkiet,jaarlijks,1.078,1.041,1.117,+7.84% (+4.10%; +11.73%),+210% (+80%; +430%),++,niet-lineair,18824a0eada5856f58517ec9939fd84a008dda28,f02446d84cdc6e5f5c59f29187042fa030f75a11
Havik,driejaarlijks,0.952,0.926,0.978,-4.8% (-7.4%; -2.2%),-52% (-68%; -28%),--,niet-lineair,8bc3c3938580c15c3bebb850769db8c6fdce4a68,1c07ba25655d14d7858cbeabde1eda614e6a0772
Havik,jaarlijks,0.949,0.924,0.976,-5.1% (-7.6%; -2.4%),-54% (-69%; -31%),--,mogelijk niet-lineair,adb5004eaacc1274a885f2c9003bc1c43d52ae61,758fcf246522f6f051a061c93dae74e9fa02e606
Heggenmus,driejaarlijks,0.982,0.978,0.987,-1.75% (-2.18%; -1.33%),-23% (-28%; -18%),-,lineair,9de173f87e75fdcf4cf4d73274be57cbe0538a90,fbd6215afd3bee64a764ef4dcff5b810d061f1c4
Heggenmus,jaarlijks,0.983,0.979,0.987,-1.71% (-2.13%; -1.28%),-22.7% (-27.6%; -17.6%),-,niet-lineair,f1cfe4ca8081c0468f81125ab9e7c263992a6f16,85b034c2a6492c745a60237a2c7f2402abbf41ae
Holenduif,driejaarlijks,0.99,0.985,0.996,-0.95% (-1.50%; -0.40%),-13% (-20%; -6%),-~,lineair,7b04c1b0af4c0331eaaa853c194605dd0aeee265,42eed4b09b45254efb369ad277cbb4003d06e81d
Holenduif,jaarlijks,0.99,0.985,0.996,-1.00% (-1.55%; -0.45%),-14% (-21%; -7%),-~,niet-lineair,bf8f75dcc48870dc3b48b73e47f87d034916c0b7,bafd40d0e45bd6fdcefb705c0c43dd02c78314f6
Houtduif,driejaarlijks,1.003,1,1.005,+0.26% (+0.02%; +0.49%),+3.9% (+0.4%; +7.6%),+~,niet-lineair,2689e97bfe0617dd5d458ce4cff8b9b4124555bc,9663f12685c34f50792b05a12e8dd746e9f08a43
Houtduif,jaarlijks,1.003,1,1.005,+0.25% (+0.02%; +0.48%),+3.8% (+0.3%; +7.5%),+~,niet-lineair,d62f79b77438c45c888ed8c5fdd5bfa91c7f04f0,17e33ef106e9589b6f6a63f74632b459b5b06cc1
Huismus,driejaarlijks,0.976,0.972,0.98,-2.41% (-2.78%; -2.04%),-30.6% (-34.5%; -26.6%),--,niet-lineair,f1d41716639b1303452239dd3708d4ab345393c4,fa32f1fbfb68dabc60d4a22e8fe452030b0e281e
Huismus,jaarlijks,0.976,0.973,0.98,-2.37% (-2.74%; -2.00%),-30.2% (-34.1%; -26.1%),--,niet-lineair,1c5f73b0ba518220e82a95c4a4a16cda5ccd1edb,519bdbb093cb217acbde8888ab73fcfff398c217
Huiszwaluw,driejaarlijks,1.008,0.979,1.038,+0.8% (-2.1%; +3.8%),+10% (-30%; +80%),?,lineair,96e17850dc27227665036be580c68fe05d14a80c,5a85952175d01739b27dff834a4c1a7d1082fe3d
Huiszwaluw,jaarlijks,1.003,0.974,1.033,+0.3% (-2.6%; +3.3%),+5% (-32%; +63%),?,mogelijk niet-lineair,462d00322f203f266f0ecbf93487643d14e19237,894c0768ef9a7d66d67d017374bb7ab2042705b5
Kauw,driejaarlijks,1.054,1.05,1.059,+5.44% (+4.98%; +5.90%),+121.3% (+107.3%; +136.2%),++,niet-lineair,451b63e2577a8de3ad5b646841c238dd3cd39e92,8bdc5ca36bd504f6416b45a23f2e552d32e38e1b
Kauw,jaarlijks,1.054,1.05,1.059,+5.43% (+4.97%; +5.89%),+121.1% (+107.0%; +135.8%),++,niet-lineair,1df0ca5ff9ca75f656bd8d46d278dfe6fdda8529,8c2173609d2fa5d0985188168e59683e51fa90a6
Kievit,driejaarlijks,0.916,0.911,0.922,-8.4% (-8.9%; -7.8%),-73.0% (-75.4%; -70.4%),--,lineair,f5269811a06bec5381a9a263ee8374f7bbd39324,afce5d5d8bbb06d1b2ad77acb77862512a7070f9
Kievit,jaarlijks,0.917,0.911,0.922,-8.3% (-8.9%; -7.8%),-72.8% (-75.2%; -70.2%),--,niet-lineair,16cf88ec9072a50b02a225e2dcc4e81251414845,60303efc9c0b8923fb28a58701537c33c42a6752
Kleine karekiet,driejaarlijks,1.003,0.992,1.015,+0.34% (-0.83%; +1.52%),+5% (-12%; +25%),~,niet-lineair,2816305fde2bcc5f763b2ca32919f0d13d90208f,0b4389c6b962318793f125916989afc19cd14299
Kleine karekiet,jaarlijks,1.003,0.991,1.014,+0.27% (-0.89%; +1.44%),+4% (-12%; +24%),~,niet-lineair,666fd023e60ec5f4c0c70ae9b38049cfd8bd7f99,b2b85f00d4281fb3e39b2a3faed1316220a59967
Kleine mantelmeeuw,driejaarlijks,1.134,1.078,1.192,+13.4% (+7.8%; +19.2%),+560% (+210%; +1300%),++,niet-lineair,407fe463153df18fdbef272099d0a646f8adcb7b,502310dbf2a27a8fd1d3624b8b708e10c72301d0
Kleine mantelmeeuw,jaarlijks,1.139,1.084,1.197,+13.9% (+8.4%; +19.7%),+610% (+240%; +1390%),++,niet-lineair,2b7b01af0bdb774de279e2a9ac17c43f8ed31565,3b3ff5ed1a162e72c719cc41ac9ab651b294d7d2
Kneu,driejaarlijks,1.015,1.003,1.027,+1.5% (+0.3%; +2.7%),+25% (+4%; +50%),+,niet-lineair,099d3d706c6908d40b91d6a602dd087a2c5e1709,f9d741df429e1acc703cd2240059d905046435e6
Kneu,jaarlijks,1.015,1.003,1.027,+1.5% (+0.3%; +2.7%),+25% (+5%; +50%),+,niet-lineair,c593fe4176284d70a0ec2198c6906b20edc27306,2dda43e7887001761986af82d3a7823cf73332f2
Knobbelzwaan,driejaarlijks,1.068,1.041,1.095,+6.8% (+4.1%; +9.5%),+170% (+80%; +290%),++,niet-lineair,d68da70b5f0079987a9f39a2f6e92321c3d31831,c06638098718dc7f37ea37143018d7c222a53eb9
Knobbelzwaan,jaarlijks,1.069,1.042,1.096,+6.9% (+4.2%; +9.6%),+170% (+90%; +300%),++,niet-lineair,10cab4607db959ab90df1e5cf6c4670ea12f14c7,111a49d6ce6fd0e15a0d454e46f1708be2440e3e
Koekoek,driejaarlijks,0.986,0.973,0.999,-1.4% (-2.7%; -0.1%),-19% (-33%; -2%),-,lineair,f1156a51b52eb36f32749629647c604442fb4e4c,e7dc3e250d372c66f12b74d77b2c0645417b66fd
Koekoek,jaarlijks,0.986,0.974,0.999,-1.4% (-2.6%; -0.1%),-18% (-33%; -1%),-,lineair,fb9c712c23c4ec049e862681fa0a9268c2ad22ce,d2c9fe609fce7973a52c2bcd1bb4cd407e1a388f
Kokmeeuw,driejaarlijks,1.046,0.997,1.096,+4.6% (-0.3%; +9.6%),+100% (-0%; +300%),?+,niet-lineair,93fda5c3b501f58a87a690c9005b72ff7954cd35,82e09028cd9c9931c66795bbed62cf1710fa07cc
Kokmeeuw,jaarlijks,1.042,0.993,1.094,+4% (-1%; +9%),+90% (-10%; +280%),?+,niet-lineair,deac59710af69e29b35103b52282025036a07afd,0c37ed06ea85e4101f63f7704ba95d31dcade19a
Koolmees,driejaarlijks,0.992,0.989,0.995,-0.817% (-1.130%; -0.502%),-11.57% (-15.68%; -7.27%),-~,niet-lineair,78847191a1b73ebd7567f884c2a0c7690e0c4820,decba40e87af2e21c919b9a738450bf4f770c433
Koolmees,jaarlijks,0.992,0.989,0.995,-0.777% (-1.084%; -0.459%),-11.04% (-15.08%; -6.67%),-~,niet-lineair,3c62c6ef07244000107a9ed567e05eabb59a1555,78983270c334ccc499a3b85f79c4c1f1ba3ae8f6
Krakeend,driejaarlijks,1.096,1.047,1.147,+9.6% (+4.7%; +14.7%),+290% (+100%; +680%),++,niet-lineair,15516296dfbd2a5bcd8b62ac08f98dce862f1f09,70c7b1fa05e1536877a1a7d499292e95ddeabdac
Krakeend,jaarlijks,1.1,1.052,1.151,+10.02% (+5.20%; +15.06%),+320% (+110%; +720%),++,lineair,45b498f30ca956fc7207b938820eae6f33211678,6853859f990c2d2190f1996cef092e8708300882
Kuifeend,driejaarlijks,1.03,0.99,1.072,+3.0% (-1.0%; +7.2%),+56% (-14%; +184%),?+,niet-lineair,2f66e9b516120a4c3e64c2978efdfc6224f07ab3,6cbe2b6f9df4d5bb900fb1dbe607994ff893132a
Kuifeend,jaarlijks,1.032,0.992,1.074,+3.2% (-0.8%; +7.4%),+61% (-11%; +191%),?+,niet-lineair,f765fb0970a189fd631d72740a98fb69c2633869,42656b4c759c3a96cda6575dce704299ec1eadf4
Kuifmees,driejaarlijks,0.977,0.963,0.992,-2.3% (-3.7%; -0.8%),-29% (-43%; -11%),-,niet-lineair,f38919ce7ca96146599ae5c0e490dedb6b4fdd2b,7dbaecc3dc9d01875bab14b45f5de0ab3c21e469
Kuifmees,jaarlijks,0.981,0.966,0.996,-1.9% (-3.4%; -0.4%),-25% (-40%; -6%),-,niet-lineair,a5176fb6678b8f1de5f326699caa6d191acff1b7,67dc0917a7effbd3756b5dff2cc806fa785b1dad
Matkop,driejaarlijks,0.939,0.893,0.988,-6.09% (-10.71%; -1.24%),-61% (-82%; -17%),-,mogelijk niet-lineair,c41124db230f66b1c0ab767aad18d4f7cc791eb2,21fb7c9deb97edfdff4b907dc248d0fab61079e2
Matkop,jaarlijks,0.941,0.894,0.99,-5.89% (-10.55%; -0.99%),-60% (-81%; -14%),-,mogelijk niet-lineair,f3f0b7613e5501dda93c73d6d0ac93f006542e1e,172b2d5456fe9c7399dd0efcdb1799a41aa6b41f
Meerkoet,driejaarlijks,1.035,1.021,1.049,+3.5% (+2.1%; +4.9%),+67.6% (+36.6%; +105.5%),++,lineair,73a69607d09650b78485bedf052e56ffa8659c89,64648c2fbda3ade26b379901e41aecc933463d30
Meerkoet,jaarlijks,1.034,1.02,1.048,+3.4% (+2.0%; +4.8%),+65.8% (+35.2%; +103.0%),++,lineair,594e52e25f8e9069907165d780d34f89ab4819df,c80c143ba0a41ad893c99334651e61df66e14687
Merel,driejaarlijks,0.962,0.96,0.964,-3.81% (-4.03%; -3.59%),-44.1% (-46.0%; -42.2%),--,niet-lineair,1fa838f5f271d5fc26254bd273a9b2d08b490966,6236bc2ccad0630a4fab066cef9a8e8bac4accdb
Merel,jaarlijks,0.962,0.96,0.965,-3.76% (-3.97%; -3.54%),-43.7% (-45.5%; -41.7%),--,niet-lineair,6e766f98cc999071203eb980aa8b676c538e8f66,daf92476c2473f933237335c69af96eeaa0f2d38
