soort,frequentie,schatting,lcl,ucl,jaarlijks,looptijd,klasse,verloop,analysis,status
Aalscholver,driejaarlijks,1.081,1.035,1.129,+8.09% (+3.50%; +12.88%),+220% (+70%; +520%),++,niet-lineair,5163dc0732dd26358a52dfb0c294dcee08bc62a4,07ade974470c49a2d986c88862df0fce06f3675c
Aalscholver,jaarlijks,1.083,1.037,1.13,+8.26% (+3.72%; +13.01%),+230% (+70%; +530%),++,niet-lineair,1f37ecea7669f5fab8d6424c455eff6f347b43bb,2f93e666cf12e53dbe4a9e35354feca272556cd4
Bergeend,driejaarlijks,1.016,1.003,1.03,+1.6% (+0.3%; +3.0%),+28% (+4%; +57%),+,niet-lineair,0b6264fbc6bb14efaed7638765184e3d79da62f2,44e617449d30fe20b69013d5bcd73481b67caf41
Bergeend,jaarlijks,1.014,1.001,1.028,+1.4% (+0.1%; +2.8%),+24% (+1%; +51%),+,niet-lineair,50d44390045d43093dfb7df634d621060bf55f01,b46da87dea2c6434467a701589e51bc810559881
Blauwborst,driejaarlijks,1.017,1.001,1.033,+1.7% (+0.1%; +3.3%),+29% (+2%; +63%),+,niet-lineair,9bc8203ce02b22e22b915b775b0001d5ac6bbe5f,fefdeb4874867f08eacd9ebde3812da29a030c3a
Blauwborst,jaarlijks,1.017,1.002,1.033,+1.7% (+0.2%; +3.3%),+29% (+2%; +63%),+,niet-lineair,133c291c4aabec3e30a413380336a5f12045264d,fd33b87d1db97785d050555a9ecc8fb3e0172a79
Blauwe reiger,driejaarlijks,1.013,0.995,1.032,+1.3% (-0.5%; +3.2%),+22% (-8%; +61%),?+,niet-lineair,de457e2f150c9616e4ee375069861a8a9711e535,142395d9a9c9ada339e66275113cbebab418f67d
Blauwe reiger,jaarlijks,1.015,0.996,1.034,+1.5% (-0.4%; +3.4%),+24% (-6%; +64%),?+,niet-lineair,2f136a84278bc4108c5385ec0ca51cbfe50f1603,92f5aca712cb8bfbf3166edc5c815b6b77e8065f
Boerenzwaluw,driejaarlijks,1.007,1,1.014,+0.71% (-0.02%; +1.44%),+11% (-0%; +24%),~,niet-lineair,2a3d6fb7d8c9254bc0145a0ec8b134f9b3d244d2,71d65a3647410fc742df783dff5c5a8d51a54169
Boerenzwaluw,jaarlijks,1.006,0.999,1.013,+0.60% (-0.11%; +1.33%),+9% (-2%; +22%),~,niet-lineair,6f9691341e680918d4390abccc677309db0dedea,05d2aa603ba9dd62fca0a8eb0b88c748e697fb52
Bonte vliegenvanger,driejaarlijks,1.029,1,1.058,+2.9% (+0.0%; +5.8%),+54% (+1%; +135%),+,lineair,b10b11a9f6c0908908916e71031d96b17dd0151f,7b5401da65404db90510634e0b9849fdb60c0338
Bonte vliegenvanger,jaarlijks,1.036,1.008,1.064,+3.6% (+0.8%; +6.4%),+69% (+13%; +154%),+,lineair,a9d3d0375d7f8df70cb80933059e2e00a1c92fa5,5e0e47f631075cf712d2cd4e85e02ce8b64a772a
Boomklever,driejaarlijks,1.041,1.029,1.052,+4.1% (+2.9%; +5.2%),+81.7% (+53.3%; +115.2%),++,niet-lineair,359fa66433d363c963d61ed4f25f7db6493962e5,ece7c1bdbb69cfea0e84cb82b79fb7c7cfdfa2a1
Boomklever,jaarlijks,1.042,1.03,1.054,+4.2% (+3.0%; +5.4%),+85.2% (+56.4%; +119.5%),++,niet-lineair,df7b53e5cbd07556a2d4fb1d8d980db44e984257,cf3aee5c82778e39761daea0417d72d40ad88474
Boomkruiper,driejaarlijks,1.015,1.005,1.024,+1.5% (+0.5%; +2.4%),+25% (+8%; +43%),+,niet-lineair,5e2b002a7c07b33d540613266ac2db8e1fb1e73f,aced7762b8bf926f3aea94261b35c91996e91abd
Boomkruiper,jaarlijks,1.015,1.005,1.024,+1.5% (+0.5%; +2.4%),+24% (+8%; +43%),+,niet-lineair,a80fe8334a19ef1f371eb2fba3a9da2c2e22767b,3c7112b18b113ea6f8ce1f2b255987ec93a2eee4
Boomleeuwerik,driejaarlijks,1.049,1.012,1.088,+4.9% (+1.2%; +8.8%),+110% (+20%; +260%),+,lineair,c5d6295a2a58c01374bb0963b2616a15f4282cb1,6a370ba34eab4445cfaf3fb0c39211d87646d428
Boomleeuwerik,jaarlijks,1.052,1.013,1.092,+5.2% (+1.3%; +9.2%),+110% (+20%; +280%),+,niet-lineair,5f292202ba0b680af6fbb8d1a8c854f062e1c6cb,16bd22106b06cb46b2d5311078dd4ba4e9e3c54a
Boompieper,driejaarlijks,1.002,0.985,1.018,+0.16% (-1.46%; +1.80%),+2% (-20%; +31%),~,lineair,34f551998379660178f3be66e0f05bc8eaf1a62a,1a20517c9eb8e2144e838f547b3e000d0ffe137f
Boompieper,jaarlijks,1.001,0.985,1.018,+0.13% (-1.48%; +1.76%),+2% (-20%; +30%),~,niet-lineair,d7fd857c08432be63d7819917f9de330ddf62664,ea6e7d6685c77190d0d76e136df825c857645754
Bosrietzanger,driejaarlijks,0.99,0.965,1.016,-1.0% (-3.5%; +1.6%),-14% (-42%; +26%),?-,niet-lineair,4d564c4dcbb52a8d46ba6c9019303b957b9bd84e,1f976649109229550c1b0176b31a96ee04940a87
