soort,indicator,ondergrens,bovengrens
Fitis,SubSaharaMigrant,0.939,1.065
Gekraagde roodstaart,SubSaharaMigrant,0.939,1.065
Gele kwikstaart,SubSaharaMigrant,0.939,1.065
Gierzwaluw,SubSaharaMigrant,0.939,1.065
Grasmus,SubSaharaMigrant,0.939,1.065
Grutto,SubSaharaMigrant,0.939,1.065
Huiszwaluw,SubSaharaMigrant,0.939,1.065
Kleine karekiet,SubSaharaMigrant,0.939,1.065
Koekoek,SubSaharaMigrant,0.939,1.065
Nachtegaal,SubSaharaMigrant,0.939,1.065
Rietzanger,SubSaharaMigrant,0.939,1.065
Spotvogel,SubSaharaMigrant,0.939,1.065
Sprinkhaanzanger,SubSaharaMigrant,0.939,1.065
Tjiftjaf,SubSaharaMigrant,0.939,1.065
Tuinfluiter,SubSaharaMigrant,0.939,1.065
Wielewaal,SubSaharaMigrant,0.939,1.065
Bergeend,Watervogel,0.909,1.101
Canadese gans,Watervogel,0.909,1.101
Dodaars,Watervogel,0.909,1.101
Fuut,Watervogel,0.909,1.101
Grauwe gans,Watervogel,0.909,1.101
Meerkoet,Watervogel,0.909,1.101
Nijlgans,Watervogel,0.909,1.101
Waterhoen,Watervogel,0.909,1.101
Wilde eend,Watervogel,0.909,1.101
