indicator,frequentie,referentie,naar,schatting,lcl,ucl,klasse,interpretatie,wijziging,analyse,status
Bos,driejaarlijks,2007,2010,1.02,0.991,1.05,~,stabiel,+2.0% (-0.9%; +5.0%),a2a1ae517fcc9dea0ed54fb7196fd8ef04ba2dc8,9f1c962f25a1a4c1c6ec8910e08dc306d9400c2b
Bos,driejaarlijks,2007,2013,1.003,0.969,1.038,~,stabiel,+0.3% (-3.1%; +3.8%),a2a1ae517fcc9dea0ed54fb7196fd8ef04ba2dc8,9f1c962f25a1a4c1c6ec8910e08dc306d9400c2b
Bos,driejaarlijks,2007,2016,0.965,0.93,1.002,?-,mogelijke afname,-3.5% (-7.0%; +0.2%),a2a1ae517fcc9dea0ed54fb7196fd8ef04ba2dc8,9f1c962f25a1a4c1c6ec8910e08dc306d9400c2b
Bos,driejaarlijks,2007,2019,0.929,0.89,0.969,-,afname,-7.12% (-11.00%; -3.09%),a2a1ae517fcc9dea0ed54fb7196fd8ef04ba2dc8,9f1c962f25a1a4c1c6ec8910e08dc306d9400c2b
Bos,driejaarlijks,2007,2022,0.936,0.888,0.986,-,afname,-6.43% (-11.20%; -1.41%),a2a1ae517fcc9dea0ed54fb7196fd8ef04ba2dc8,9f1c962f25a1a4c1c6ec8910e08dc306d9400c2b
Bos,driejaarlijks,2010,2013,0.983,0.955,1.012,~,stabiel,-1.7% (-4.5%; +1.2%),a2a1ae517fcc9dea0ed54fb7196fd8ef04ba2dc8,9f1c962f25a1a4c1c6ec8910e08dc306d9400c2b
Bos,driejaarlijks,2010,2016,0.946,0.914,0.98,-,afname,-5.4% (-8.6%; -2.0%),a2a1ae517fcc9dea0ed54fb7196fd8ef04ba2dc8,9f1c962f25a1a4c1c6ec8910e08dc306d9400c2b
Bos,driejaarlijks,2010,2019,0.911,0.873,0.949,-,afname,-8.94% (-12.66%; -5.06%),a2a1ae517fcc9dea0ed54fb7196fd8ef04ba2dc8,9f1c962f25a1a4c1c6ec8910e08dc306d9400c2b
Bos,driejaarlijks,2010,2022,0.917,0.871,0.966,-,afname,-8.26% (-12.88%; -3.39%),a2a1ae517fcc9dea0ed54fb7196fd8ef04ba2dc8,9f1c962f25a1a4c1c6ec8910e08dc306d9400c2b
Bos,driejaarlijks,2013,2016,0.963,0.933,0.994,-,afname,-3.7% (-6.7%; -0.6%),a2a1ae517fcc9dea0ed54fb7196fd8ef04ba2dc8,9f1c962f25a1a4c1c6ec8910e08dc306d9400c2b
Bos,driejaarlijks,2013,2019,0.926,0.89,0.964,-,afname,-7.38% (-11.00%; -3.62%),a2a1ae517fcc9dea0ed54fb7196fd8ef04ba2dc8,9f1c962f25a1a4c1c6ec8910e08dc306d9400c2b
Bos,driejaarlijks,2013,2022,0.933,0.888,0.981,-,afname,-6.70% (-11.25%; -1.91%),a2a1ae517fcc9dea0ed54fb7196fd8ef04ba2dc8,9f1c962f25a1a4c1c6ec8910e08dc306d9400c2b
Bos,driejaarlijks,2016,2019,0.962,0.93,0.995,-,afname,-3.8% (-7.0%; -0.5%),a2a1ae517fcc9dea0ed54fb7196fd8ef04ba2dc8,9f1c962f25a1a4c1c6ec8910e08dc306d9400c2b
Bos,driejaarlijks,2016,2022,0.969,0.924,1.017,?-,mogelijke afname,-3.1% (-7.6%; +1.7%),a2a1ae517fcc9dea0ed54fb7196fd8ef04ba2dc8,9f1c962f25a1a4c1c6ec8910e08dc306d9400c2b
Bos,driejaarlijks,2019,2022,1.008,0.969,1.047,~,stabiel,+0.8% (-3.1%; +4.7%),a2a1ae517fcc9dea0ed54fb7196fd8ef04ba2dc8,9f1c962f25a1a4c1c6ec8910e08dc306d9400c2b
Bos,jaarlijks,2007,2008,1.028,0.994,1.064,?+,mogelijke toename,+2.8% (-0.6%; +6.4%),ddc94646ecb369d26f3bbf9fc203bc19c0d8bf04,d8b17a328882445260ac7a2131e1fae38f16b53d
Bos,jaarlijks,2007,2009,1.007,0.966,1.05,~,stabiel,+0.7% (-3.4%; +5.0%),ddc94646ecb369d26f3bbf9fc203bc19c0d8bf04,d8b17a328882445260ac7a2131e1fae38f16b53d
Bos,jaarlijks,2007,2010,1.018,0.973,1.065,?+,mogelijke toename,+1.8% (-2.7%; +6.5%),ddc94646ecb369d26f3bbf9fc203bc19c0d8bf04,d8b17a328882445260ac7a2131e1fae38f16b53d
Bos,jaarlijks,2007,2011,1.053,1.004,1.104,+,toename,+5.3% (+0.4%; +10.4%),ddc94646ecb369d26f3bbf9fc203bc19c0d8bf04,d8b17a328882445260ac7a2131e1fae38f16b53d
Bos,jaarlijks,2007,2012,1.065,1.014,1.119,+,toename,+6.5% (+1.4%; +11.9%),ddc94646ecb369d26f3bbf9fc203bc19c0d8bf04,d8b17a328882445260ac7a2131e1fae38f16b53d
Bos,jaarlijks,2007,2013,1.037,0.986,1.09,?+,mogelijke toename,+4% (-1%; +9%),ddc94646ecb369d26f3bbf9fc203bc19c0d8bf04,d8b17a328882445260ac7a2131e1fae38f16b53d
Bos,jaarlijks,2007,2014,1.037,0.986,1.091,?+,mogelijke toename,+4% (-1%; +9%),ddc94646ecb369d26f3bbf9fc203bc19c0d8bf04,d8b17a328882445260ac7a2131e1fae38f16b53d
Bos,jaarlijks,2007,2015,1.037,0.985,1.091,?+,mogelijke toename,+4% (-2%; +9%),ddc94646ecb369d26f3bbf9fc203bc19c0d8bf04,d8b17a328882445260ac7a2131e1fae38f16b53d
