soort,frequentie,stratum,gewicht,aanwezig,relevant,onderzocht,totaal,bezoeken
Aalscholver,jaarlijks,Heide en duin,0.046,16.9,8,94,199,285
Aalscholver,jaarlijks,Landbouw,0.816,263.6,18,431,6311,624
Aalscholver,jaarlijks,Moeras en water,0.138,44.5,26,80,137,1133
Bergeend,jaarlijks,Bos,0.005,6.7,4,190,319,148
Bergeend,jaarlijks,Heide en duin,0.02,21.2,10,94,199,504
Bergeend,jaarlijks,Landbouw,0.905,849.3,58,431,6311,2635
Bergeend,jaarlijks,Moeras en water,0.047,44.5,26,80,137,938
Bergeend,jaarlijks,Suburbaan,0.022,23.6,8,68,201,275
Blauwborst,jaarlijks,Heide en duin,0.02,19.1,9,94,199,258
Blauwborst,jaarlijks,Landbouw,0.933,776.1,53,431,6311,2111
Blauwborst,jaarlijks,Moeras en water,0.033,27.4,16,80,137,730
Blauwborst,jaarlijks,Suburbaan,0.014,14.8,5,68,201,134
Blauwe reiger,jaarlijks,Bos,0.018,21.8,13,190,319,614
Blauwe reiger,jaarlijks,Heide en duin,0.029,33.9,16,94,199,484
Blauwe reiger,jaarlijks,Landbouw,0.906,1068.9,73,431,6311,2976
Blauwe reiger,jaarlijks,Moeras en water,0.039,46.2,27,80,137,1349
Blauwe reiger,jaarlijks,Suburbaan,0.008,11.8,4,68,201,157
Boerenzwaluw,jaarlijks,Bos,0.005,23.5,14,190,319,314
Boerenzwaluw,jaarlijks,Heide en duin,0.013,55,26,94,199,723
Boerenzwaluw,jaarlijks,Landbouw,0.948,4143.9,283,431,6311,10053
Boerenzwaluw,jaarlijks,Moeras en water,0.011,46.2,27,80,137,749
Boerenzwaluw,jaarlijks,Suburbaan,0.009,41.4,14,68,201,209
Boerenzwaluw,jaarlijks,Urbaan,0.014,62.2,13,87,416,345
Bonte vliegenvanger,jaarlijks,Bos,0.601,31.9,19,190,319,427
Bonte vliegenvanger,jaarlijks,Heide en duin,0.399,21.2,10,94,199,405
Boomklever,jaarlijks,Bos,0.206,216.6,129,190,319,7423
Boomklever,jaarlijks,Heide en duin,0.07,74.1,35,94,199,1751
Boomklever,jaarlijks,Landbouw,0.571,600.4,41,431,6311,1516
Boomklever,jaarlijks,Moeras en water,0.033,34.2,20,80,137,839
Boomklever,jaarlijks,Suburbaan,0.048,50.2,17,68,201,709
Boomklever,jaarlijks,Urbaan,0.073,81.3,17,87,416,445
Boomkruiper,jaarlijks,Bos,0.115,213.2,127,190,319,7784
Boomkruiper,jaarlijks,Heide en duin,0.057,105.9,50,94,199,2506
Boomkruiper,jaarlijks,Landbouw,0.703,1303.2,89,431,6311,3672
Boomkruiper,jaarlijks,Moeras en water,0.025,46.2,27,80,137,1469
Boomkruiper,jaarlijks,Suburbaan,0.033,62.1,21,68,201,841
Boomkruiper,jaarlijks,Urbaan,0.067,124.3,26,87,416,810
Boomleeuwerik,jaarlijks,Bos,0.237,45.3,27,190,319,1527
Boomleeuwerik,jaarlijks,Heide en duin,0.498,95.3,45,94,199,2315
Boomleeuwerik,jaarlijks,Landbouw,0.23,58.6,4,431,6311,60
Boomleeuwerik,jaarlijks,Moeras en water,0.036,8.6,5,80,137,161
Boompieper,jaarlijks,Bos,0.277,100.7,60,190,319,3028
Boompieper,jaarlijks,Heide en duin,0.327,118.6,56,94,199,3383
Boompieper,jaarlijks,Landbouw,0.363,146.4,10,431,6311,431
Boompieper,jaarlijks,Moeras en water,0.033,12,7,80,137,339
Bosrietzanger,jaarlijks,Heide en duin,0.011,8.5,4,94,199,85
Bosrietzanger,jaarlijks,Landbouw,0.882,497.9,34,431,6311,777
Bosrietzanger,jaarlijks,Moeras en water,0.07,39.4,23,80,137,670
Bosrietzanger,jaarlijks,Suburbaan,0.037,20.7,7,68,201,149
Bruine kiekendief,jaarlijks,Landbouw,0.974,380.7,26,431,6311,1099
Bruine kiekendief,jaarlijks,Moeras en water,0.026,12,7,80,137,261
