indicator,frequentie,referentie,naar,schatting,lcl,ucl,klasse,interpretatie,wijziging,analyse,status
Bos,driejaarlijks,2007,2010,1.022,0.994,1.051,~,stabiel,+2.2% (-0.6%; +5.1%),593eb6fb0c4fd3dd7f1589aae4c3f8fb9037e2f3,7d5282f5f62a6b39d757fc01252b3ea59bb29f0c
Bos,driejaarlijks,2007,2013,1.005,0.972,1.038,~,stabiel,+0.5% (-2.8%; +3.8%),593eb6fb0c4fd3dd7f1589aae4c3f8fb9037e2f3,7d5282f5f62a6b39d757fc01252b3ea59bb29f0c
Bos,driejaarlijks,2007,2016,0.961,0.926,0.996,-,afname,-3.9% (-7.4%; -0.4%),593eb6fb0c4fd3dd7f1589aae4c3f8fb9037e2f3,7d5282f5f62a6b39d757fc01252b3ea59bb29f0c
Bos,driejaarlijks,2007,2019,0.931,0.893,0.97,-,afname,-6.93% (-10.72%; -2.97%),593eb6fb0c4fd3dd7f1589aae4c3f8fb9037e2f3,7d5282f5f62a6b39d757fc01252b3ea59bb29f0c
Bos,driejaarlijks,2010,2013,0.983,0.956,1.011,~,stabiel,-1.7% (-4.4%; +1.1%),593eb6fb0c4fd3dd7f1589aae4c3f8fb9037e2f3,7d5282f5f62a6b39d757fc01252b3ea59bb29f0c
Bos,driejaarlijks,2010,2016,0.94,0.908,0.973,-,afname,-6.0% (-9.2%; -2.7%),593eb6fb0c4fd3dd7f1589aae4c3f8fb9037e2f3,7d5282f5f62a6b39d757fc01252b3ea59bb29f0c
Bos,driejaarlijks,2010,2019,0.911,0.875,0.948,-,afname,-8.93% (-12.50%; -5.21%),593eb6fb0c4fd3dd7f1589aae4c3f8fb9037e2f3,7d5282f5f62a6b39d757fc01252b3ea59bb29f0c
Bos,driejaarlijks,2013,2016,0.956,0.927,0.986,-,afname,-4.4% (-7.3%; -1.4%),593eb6fb0c4fd3dd7f1589aae4c3f8fb9037e2f3,7d5282f5f62a6b39d757fc01252b3ea59bb29f0c
Bos,driejaarlijks,2013,2019,0.927,0.891,0.964,-,afname,-7.34% (-10.89%; -3.64%),593eb6fb0c4fd3dd7f1589aae4c3f8fb9037e2f3,7d5282f5f62a6b39d757fc01252b3ea59bb29f0c
Bos,driejaarlijks,2016,2019,0.969,0.937,1.002,?-,mogelijke afname,-3.1% (-6.3%; +0.2%),593eb6fb0c4fd3dd7f1589aae4c3f8fb9037e2f3,7d5282f5f62a6b39d757fc01252b3ea59bb29f0c
Bos,jaarlijks,2007,2008,1.018,0.983,1.054,~,stabiel,+1.8% (-1.7%; +5.4%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2007,2009,0.994,0.952,1.036,~,stabiel,-0.6% (-4.8%; +3.6%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2007,2010,1.01,0.965,1.057,~,stabiel,+1.0% (-3.5%; +5.7%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2007,2011,1.04,0.991,1.09,?+,mogelijke toename,+4.0% (-0.9%; +9.0%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2007,2012,1.054,1.004,1.106,+,toename,+5.4% (+0.4%; +10.6%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2007,2013,1.035,0.985,1.088,?+,mogelijke toename,+4% (-2%; +9%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2007,2014,1.025,0.976,1.078,?+,mogelijke toename,+3% (-2%; +8%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2007,2015,1.023,0.972,1.076,?+,mogelijke toename,+2% (-3%; +8%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2007,2016,1.002,0.953,1.054,~,stabiel,+0% (-5%; +5%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2007,2017,0.981,0.931,1.034,?-,mogelijke afname,-2% (-7%; +3%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2007,2018,0.967,0.917,1.021,?-,mogelijke afname,-3% (-8%; +2%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2007,2019,0.958,0.906,1.012,?-,mogelijke afname,-4% (-9%; +1%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2007,2020,0.925,0.873,0.98,-,afname,-7.5% (-12.7%; -2.0%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2007,2021,0.903,0.848,0.961,-,afname,-9.7% (-15.2%; -3.9%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2008,2009,0.976,0.944,1.01,?-,mogelijke afname,-2.4% (-5.6%; +1.0%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2008,2010,0.993,0.954,1.033,~,stabiel,-0.7% (-4.6%; +3.3%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2008,2011,1.022,0.98,1.065,?+,mogelijke toename,+2.2% (-2.0%; +6.5%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2008,2012,1.036,0.992,1.082,?+,mogelijke toename,+3.6% (-0.8%; +8.2%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2008,2013,1.017,0.972,1.064,?+,mogelijke toename,+1.7% (-2.8%; +6.4%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2008,2014,1.008,0.963,1.054,~,stabiel,+0.8% (-3.7%; +5.4%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
Bos,jaarlijks,2008,2015,1.005,0.96,1.052,~,stabiel,+0.5% (-4.0%; +5.2%),065435d795c0670ce5039ac3e5256f0191ff158c,c00b31dd245d39debafeb8980402a9cf40c30637
