soort,frequentie,referentie,naar,schatting,lcl,ucl,klasse,interpretatie,wijziging,analysis,status
Aalscholver,driejaarlijks,2007,2010,1.121,0.796,1.577,?+,mogelijke toename,+12% (-20%; +58%),c5af6d9566518bb38d9711811f4e37a9b1cdd6d8,01bfc779c2abfc936abd4050189d4827074159ae
Aalscholver,driejaarlijks,2007,2013,1.46,0.961,2.218,?+,mogelijke toename,+46% (-4%; +122%),c5af6d9566518bb38d9711811f4e37a9b1cdd6d8,01bfc779c2abfc936abd4050189d4827074159ae
Aalscholver,driejaarlijks,2007,2016,2.025,1.195,3.43,+,toename,+100% (+20%; +240%),c5af6d9566518bb38d9711811f4e37a9b1cdd6d8,01bfc779c2abfc936abd4050189d4827074159ae
Aalscholver,driejaarlijks,2007,2019,2.294,1.272,4.138,+,toename,+130% (+30%; +310%),c5af6d9566518bb38d9711811f4e37a9b1cdd6d8,01bfc779c2abfc936abd4050189d4827074159ae
Aalscholver,driejaarlijks,2010,2013,1.304,0.938,1.812,?+,mogelijke toename,+30% (-6%; +81%),c5af6d9566518bb38d9711811f4e37a9b1cdd6d8,01bfc779c2abfc936abd4050189d4827074159ae
Aalscholver,driejaarlijks,2010,2016,1.807,1.143,2.859,+,toename,+81% (+14%; +186%),c5af6d9566518bb38d9711811f4e37a9b1cdd6d8,01bfc779c2abfc936abd4050189d4827074159ae
Aalscholver,driejaarlijks,2010,2019,2.047,1.208,3.469,+,toename,+100% (+20%; +250%),c5af6d9566518bb38d9711811f4e37a9b1cdd6d8,01bfc779c2abfc936abd4050189d4827074159ae
Aalscholver,driejaarlijks,2013,2016,1.387,0.997,1.928,?+,mogelijke toename,+39% (-0%; +93%),c5af6d9566518bb38d9711811f4e37a9b1cdd6d8,01bfc779c2abfc936abd4050189d4827074159ae
Aalscholver,driejaarlijks,2013,2019,1.571,1.036,2.381,+,toename,+57% (+4%; +138%),c5af6d9566518bb38d9711811f4e37a9b1cdd6d8,01bfc779c2abfc936abd4050189d4827074159ae
Aalscholver,driejaarlijks,2016,2019,1.133,0.834,1.538,?+,mogelijke toename,+13% (-17%; +54%),c5af6d9566518bb38d9711811f4e37a9b1cdd6d8,01bfc779c2abfc936abd4050189d4827074159ae
Aalscholver,jaarlijks,2007,2008,0.936,0.673,1.301,?-,mogelijke afname,-6% (-33%; +30%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2007,2009,0.954,0.619,1.471,?,onduidelijk,-5% (-38%; +47%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2007,2010,0.986,0.604,1.607,?,onduidelijk,-0% (-40%; +60%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2007,2011,1.141,0.685,1.9,?,onduidelijk,+10% (-30%; +90%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2007,2012,1.224,0.719,2.084,?,onduidelijk,+22% (-28%; +108%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2007,2013,1.376,0.804,2.354,?+,mogelijke toename,+38% (-20%; +135%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2007,2014,1.333,0.767,2.317,?+,mogelijke toename,+33% (-23%; +132%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2007,2015,1.406,0.799,2.476,?+,mogelijke toename,+41% (-20%; +148%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2007,2016,1.59,0.907,2.789,?+,mogelijke toename,+59% (-9%; +179%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2007,2017,2.133,1.188,3.829,+,toename,+110% (+20%; +280%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2007,2018,2.326,1.26,4.292,+,toename,+130% (+30%; +330%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2007,2019,2.361,1.282,4.347,+,toename,+140% (+30%; +330%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2007,2020,2.377,1.276,4.429,+,toename,+140% (+30%; +340%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2007,2021,2.41,1.276,4.554,+,toename,+140% (+30%; +360%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2008,2009,1.019,0.748,1.388,?,onduidelijk,+2% (-25%; +39%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2008,2010,1.053,0.709,1.563,?,onduidelijk,+5% (-29%; +56%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2008,2011,1.219,0.783,1.897,?+,mogelijke toename,+20% (-20%; +90%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2008,2012,1.307,0.814,2.1,?+,mogelijke toename,+31% (-19%; +110%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2008,2013,1.47,0.896,2.411,?+,mogelijke toename,+47% (-10%; +141%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2008,2014,1.424,0.868,2.335,?+,mogelijke toename,+42% (-13%; +133%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2008,2015,1.502,0.906,2.491,?+,mogelijke toename,+50% (-9%; +149%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2008,2016,1.699,1.022,2.824,+,toename,+70% (+2%; +182%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2008,2017,2.278,1.291,4.022,+,toename,+130% (+30%; +300%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2008,2018,2.484,1.362,4.532,++,sterke toename,+150% (+40%; +350%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2008,2019,2.522,1.391,4.572,++,sterke toename,+150% (+40%; +360%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2008,2020,2.539,1.387,4.647,++,sterke toename,+150% (+40%; +360%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2008,2021,2.574,1.387,4.777,++,sterke toename,+160% (+40%; +380%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2009,2010,1.033,0.762,1.4,?+,mogelijke toename,+3% (-24%; +40%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2009,2011,1.196,0.808,1.77,?+,mogelijke toename,+20% (-19%; +77%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2009,2012,1.283,0.828,1.986,?+,mogelijke toename,+30% (-20%; +100%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2009,2013,1.442,0.901,2.308,?+,mogelijke toename,+44% (-10%; +131%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2009,2014,1.397,0.871,2.24,?+,mogelijke toename,+40% (-13%; +124%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2009,2015,1.474,0.908,2.391,?+,mogelijke toename,+47% (-9%; +139%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2009,2016,1.667,1.021,2.72,+,toename,+67% (+2%; +172%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2009,2017,2.235,1.277,3.913,+,toename,+120% (+30%; +290%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2009,2018,2.438,1.348,4.409,++,sterke toename,+140% (+30%; +340%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2009,2019,2.474,1.378,4.442,++,sterke toename,+150% (+40%; +340%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2009,2020,2.491,1.373,4.519,++,sterke toename,+150% (+40%; +350%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2009,2021,2.526,1.372,4.648,++,sterke toename,+150% (+40%; +360%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2010,2011,1.158,0.847,1.583,?+,mogelijke toename,+16% (-15%; +58%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2010,2012,1.242,0.838,1.841,?+,mogelijke toename,+20% (-20%; +80%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2010,2013,1.396,0.895,2.178,?+,mogelijke toename,+40% (-11%; +118%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2010,2014,1.353,0.86,2.128,?+,mogelijke toename,+35% (-14%; +113%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2010,2015,1.427,0.893,2.28,?+,mogelijke toename,+43% (-11%; +128%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
Aalscholver,jaarlijks,2010,2016,1.614,1.002,2.599,+,toename,+61% (+0%; +160%),289fd501760fb9f46ae2f794b655003c383d52fd,ca33c1a741ed83782dde2514391e19d18f208380
