soort,frequentie,schatting,lcl,ucl,jaarlijks,looptijd,klasse,verloop,analysis,status
Merel,jaarlijks,0.962,0.96,0.965,-3.78% (-4.01%; -3.55%),-41.7% (-43.6%; -39.7%),--,niet-lineair,0ed5f6226ded6a490e2e588dc9585e158c3c849f,02edc8c22b9d7f3abe76935bb76dc3f84e42cf7f
Middelste Bonte Specht,driejaarlijks,1.024,0.991,1.058,+2.4% (-0.9%; +5.8%),+40% (-11%; +121%),?+,mogelijk niet-lineair,60910bf41a458601dcc6f1e9451a2274744aa3f6,e87b537d2539774d876d366a5f201eb4b4068607
Middelste Bonte Specht,jaarlijks,1.024,0.992,1.058,+2.4% (-0.8%; +5.8%),+40% (-11%; +119%),?+,niet-lineair,68c86a34f81324f8bee2ec55258aa75fbdb0a150,671ba2d8fffc0bd90d0d1e76293f262b0e45845b
Nachtegaal,driejaarlijks,0.98,0.953,1.007,-2.0% (-4.7%; +0.7%),-25% (-49%; +11%),?-,mogelijk niet-lineair,6bad01a7fc3b87afbc4f551bfcbd8c2468cfcf91,c8bdaa98ca1fdf7c3af3dbda9e374b0d3ab5cfc6
Nachtegaal,jaarlijks,0.98,0.954,1.008,-2.0% (-4.6%; +0.8%),-24% (-49%; +11%),?-,niet-lineair,e250206369c3105612b34aacfad73f9d3038d956,030189afdb801b96d90ca162bd5bb9462f48757d
Nijlgans,driejaarlijks,1.023,1.008,1.038,+2.3% (+0.8%; +3.8%),+37% (+12%; +68%),+,lineair,b61434838e7343ea8f740e33b0791137e3ff78c2,83a506a71c8d241098c2c232300f9345addb55f5
Nijlgans,jaarlijks,1.019,1.004,1.033,+1.9% (+0.4%; +3.3%),+29% (+6%; +58%),+,lineair,b7ecae9284822c71c60bf71a393501572d539f00,bb9d53e06e8566f6d3edd8935f99154c0f1ba15c
Patrijs,driejaarlijks,0.961,0.948,0.974,-3.9% (-5.2%; -2.6%),-43% (-53%; -31%),--,niet-lineair,2958a27e43afa783b4d5596ef613dc24d93e2e80,69551dc9b42c27ca85c03c933ea8adeedbcd9fd6
Patrijs,jaarlijks,0.962,0.95,0.974,-3.8% (-5.0%; -2.6%),-42% (-52%; -30%),--,niet-lineair,df2757a210e992e41df42ffe60a060f3715713b4,0e74b59c6af4399f175fe4ee6435865ccad88b90
Pimpelmees,driejaarlijks,1.012,1.006,1.017,+1.19% (+0.65%; +1.73%),+18% (+9%; +27%),+~,niet-lineair,385c7cc282bc74df15f087131effdb38e8e63d94,c3d3e2ded16b367c02aa734553095c414635a638
Pimpelmees,jaarlijks,1.013,1.007,1.018,+1.26% (+0.72%; +1.81%),+19% (+11%; +28%),+~,niet-lineair,acec4470c8624de9634239e2f4d5161d6a08020e,98350dc5343f8b8636fa1343e19806522d31628c
Putter,driejaarlijks,1.092,1.055,1.131,+9.21% (+5.46%; +13.10%),+240% (+110%; +460%),++,niet-lineair,8c97d3984762e48b2f648acdf30f66249ed65786,f801448c39d8a7fec235792fb73f65ac4206cd97
Putter,jaarlijks,1.087,1.051,1.125,+8.73% (+5.06%; +12.51%),+220% (+100%; +420%),++,niet-lineair,5b624dd83edd6caaae892930df4af5e3b7565fab,93b796cfb32501b9c294a58a7219abd415f5eb3c
Rietgors,driejaarlijks,0.996,0.977,1.015,-0.4% (-2.3%; +1.5%),-5% (-28%; +24%),?-,niet-lineair,11c74d68f6c71e72a0584cf591f1db40e4cf1227,722e190af12a6fe72f0377137942f874f8a0acc6
Rietgors,jaarlijks,0.995,0.976,1.014,-0.5% (-2.4%; +1.4%),-7% (-28%; +21%),?-,niet-lineair,9328120f510d71ac76ec117d4d1ca47a173d3722,68b466ac99151e6018d921c9c73edc15e608a64f
Rietzanger,driejaarlijks,1.004,0.989,1.019,+0.39% (-1.05%; +1.85%),+6% (-14%; +29%),~,niet-lineair,8b0c7fdc507a4880bee9ca6de18fab5e72042f2c,617895039a1256653f2f6aafdc51fa4df0479ac4
Rietzanger,jaarlijks,1.003,0.989,1.018,+0.34% (-1.06%; +1.77%),+5% (-14%; +28%),~,niet-lineair,e710ac2fa878f86a33b160858b951f6903623f6b,cb2b46524a2e42b3eaaf4288d2be6ca3f78e486c
Ringmus,driejaarlijks,0.947,0.933,0.962,-5.3% (-6.7%; -3.8%),-53% (-62%; -42%),--,niet-lineair,ea51f8f4dbc915e16fd3cb5b5328b232372f6e86,4c898fe053bebc8a9184e828931fa5ab9e643d7c
Ringmus,jaarlijks,0.947,0.933,0.962,-5.3% (-6.7%; -3.8%),-53% (-62%; -42%),--,niet-lineair,13f3f5b257e423528e0c42847cafedc29143a8f8,49feab21bed049363f40e685617bcecf03060010
Roek,driejaarlijks,1.129,1.092,1.168,+12.92% (+9.18%; +16.79%),+450% (+240%; +780%),++,lineair,e848a97470cb1c83eb793c38fe6dbfd72fd83019,faf704b964b083797a8e938abe1bc65e47e62439
Roek,jaarlijks,1.134,1.096,1.174,+13.42% (+9.61%; +17.36%),+480% (+260%; +840%),++,niet-lineair,83bcae3489c949b9fa0359b10e9d004daf6a3405,1205c5a9235ad42b34500bba9845f34e3f45f0aa
Roodborst,driejaarlijks,1.022,1.016,1.027,+2.2% (+1.6%; +2.7%),+35% (+25%; +46%),+,niet-lineair,fcd1f597a4bab9e09703067e207d6c68b1ad5766,1269d6775f254e829488fcf9d24fc7390e33d1a5
Roodborst,jaarlijks,1.022,1.017,1.028,+2.2% (+1.7%; +2.8%),+36% (+26%; +47%),+,niet-lineair,bc13270d2b56f9b4c7a0818a60eb447ee34069c6,9bb626cc1a65f462983b7d604c09454249701ce0
Roodborsttapuit,driejaarlijks,1.035,1.017,1.052,+3.5% (+1.7%; +5.2%),+60.9% (+26.9%; +103.9%),+,niet-lineair,ad2ae4eef52c388da8574633986d351bfe6e8b23,e4243123d05cf50634230087b02b054434f3a7a4
Roodborsttapuit,jaarlijks,1.035,1.018,1.052,+3.5% (+1.8%; +5.2%),+61.6% (+27.8%; +104.5%),+,niet-lineair,004be727c0aabfe30041ab645cf2cd8f87290fe3,334048e183cb8479286c9b17cd05f80d5cc564e0
Scholekster,driejaarlijks,0.991,0.982,1.001,-0.86% (-1.85%; +0.13%),-11% (-23%; +2%),~,mogelijk niet-lineair,d03a5a74a1012f948eab6387b29371de42d9982b,21907b1f8c13f818794a8a1165f738e91ae25725
Scholekster,jaarlijks,0.99,0.98,0.999,-1.0% (-2.0%; -0.1%),-14% (-25%; -1%),-~,niet-lineair,e68ddf5001a144d65377427a3ba87c8bddbad02f,1d3cccaf949b5952fd6be61d34d682d186b4e18b
Sperwer,driejaarlijks,1.047,1.016,1.08,+4.7% (+1.6%; +8.0%),+91% (+24%; +193%),+,mogelijk niet-lineair,beee09b360159143f9b69f3f9f99836af478ad52,f8ecefd100df3e62a6905e5b7ce02b09a30dcfbf
Sperwer,jaarlijks,1.042,1.011,1.073,+4.2% (+1.1%; +7.3%),+77% (+16%; +170%),+,niet-lineair,e3c7cc858384f1b71a6293bc3e49dbf259b0481b,5082095a715f4c9865fb94ac0b58d643feec36c4
Spotvogel,driejaarlijks,0.991,0.958,1.026,-0.9% (-4.2%; +2.6%),-11% (-45%; +44%),?,niet-lineair,ed9348b389d1e990597d4d3b5b3a1b7b84bc6f05,47d0375015afbcdb05a59d6dbf446199780151dc
Spotvogel,jaarlijks,0.994,0.961,1.028,-0.6% (-3.9%; +2.8%),-8% (-43%; +47%),?,niet-lineair,43ea147cf665ef588e3b0a58ed3acfde6cece6a0,901bc7d369f221a9909fc8deacdd64ec82415b6f
Spreeuw,driejaarlijks,0.978,0.971,0.984,-2.2% (-2.9%; -1.6%),-27% (-34%; -20%),-,lineair,8fe95b6500fb1570e06aec6fcf717c18215f119f,d8aead198846cb0f5c3320bf9ed8dd553df61f57
Spreeuw,jaarlijks,0.977,0.971,0.984,-2.3% (-2.9%; -1.6%),-28% (-34%; -21%),-,lineair,3c37528c0a36459d83aede97d91d941224ea1bdf,efa0a6fa00b1466aeef4e0eea2519534422e2572
Sprinkhaanzanger,driejaarlijks,0.894,0.861,0.929,-10.60% (-13.94%; -7.15%),-79% (-88%; -65%),--,lineair,877eea94166c6b1a1fbbd9386d5279c9e64ccb5f,d840d67abcc9ede4c4ff69830826d879f406c734
Sprinkhaanzanger,jaarlijks,0.9,0.868,0.934,-9.97% (-13.20%; -6.60%),-77% (-86%; -62%),--,lineair,bb9ba3be8027cbdd89db14fb854cd94dd43d327b,588333397d8e7cf332dc6070109ee913f708735f
Staartmees,driejaarlijks,0.98,0.956,1.005,-2.0% (-4.4%; +0.5%),-24% (-47%; +7%),?-,niet-lineair,cff1110f2b7613b8891a84c7ef435db22115044c,002f82a2031ed3f5761f7a2330344cfe275b60f6
Staartmees,jaarlijks,0.982,0.958,1.006,-1.8% (-4.2%; +0.6%),-23% (-45%; +9%),?-,niet-lineair,09009755477d627bab5282266d83b63e95720c5f,91eb828722ed9eabede01e3086ce38b58f1a129b
Stadsduif,driejaarlijks,0.962,0.936,0.988,-3.8% (-6.4%; -1.2%),-42% (-61%; -15%),-,niet-lineair,125ed450484e524075b5ebca6809c871e0839e2a,6fb7a68b3b1aecfd89656ee23bed339c4c079879
Stadsduif,jaarlijks,0.963,0.938,0.989,-3.7% (-6.2%; -1.1%),-41% (-59%; -14%),-,niet-lineair,51d4b165a81d4c1c0f60b68e9061cdd9acd9bf87,71dd42b8e8513e345cee64b16fc570675da4fc8b
Tafeleend,driejaarlijks,1.005,0.968,1.043,+0.5% (-3.2%; +4.3%),+10% (-40%; +80%),?,niet-lineair,49b47d0f9b4fbdb2794484aa491fae26d16e09ba,04a5e125f270682b6b8a6f2d86fb98cc7bc35ee5
Tafeleend,jaarlijks,1.01,0.971,1.051,+1.0% (-2.9%; +5.1%),+16% (-33%; +101%),?,niet-lineair,e05755739e67103cc522a7a3ccbe1db2a3b74d82,e643cca159e9a2db76e1398151b5af3ee510536a
Tjiftjaf,driejaarlijks,1.009,1.005,1.013,+0.887% (+0.525%; +1.251%),+13.2% (+7.6%; +19.0%),+~,niet-lineair,a5ad8f617700f328476d9af28ab0918faf197a9c,20bc79e166f4a66dd0fcd994beb4fda7a6bc5b23
Tjiftjaf,jaarlijks,1.009,1.006,1.013,+0.934% (+0.582%; +1.298%),+13.9% (+8.5%; +19.8%),+~,niet-lineair,8a98310c949db8d774cc1ac8ac8eb005124c692e,5f45a408bf9f2eaefa0e345b25e21ea23f5bc160
Torenvalk,driejaarlijks,1.028,1.013,1.043,+2.8% (+1.3%; +4.3%),+47% (+20%; +79%),+,niet-lineair,35630068051a8ca2ab92c52575491021e035ffae,f07fa394e2a9336158d3d08ab59fb871371ccb04
Torenvalk,jaarlijks,1.027,1.013,1.042,+2.7% (+1.3%; +4.2%),+46% (+20%; +78%),+,niet-lineair,53defbd471f3bfc84b890497c580c26ac0bbe8ec,b4d1c1c1a7f60a68fcf2ff378ecccc37989717cc
Tuinfluiter,driejaarlijks,0.944,0.928,0.96,-5.6% (-7.2%; -4.0%),-56% (-65%; -44%),--,lineair,842671bb0b64ac939071e818362a589aee3b07b9,d3c5d2751ffe5d8c67015be9961c01771b5a5b3f
Tuinfluiter,jaarlijks,0.943,0.927,0.96,-5.7% (-7.3%; -4.0%),-56% (-65%; -44%),--,niet-lineair,1bd8defa83d09228d5b5d3e5bbea74bf7b1d501c,9e23a6e9a466b44853d68ceab8081737a44b36d0
Turkse tortel,driejaarlijks,0.983,0.979,0.986,-1.72% (-2.06%; -1.37%),-21.5% (-25.3%; -17.6%),-,lineair,6ec513dc4caa1b3eef4547949195891a7986fa3f,c55bedf59d0853915272f4be702a2ee2f9c1a664
Turkse tortel,jaarlijks,0.983,0.98,0.987,-1.68% (-2.02%; -1.33%),-21.1% (-24.8%; -17.1%),-~,lineair,c1388ae559870af2b715331f03178dfeb1978124,3d93a95e1c8550e5406e1e82eb299a6ccb247edd
Veldleeuwerik,driejaarlijks,0.974,0.968,0.98,-2.6% (-3.2%; -2.0%),-31% (-37%; -25%),--,lineair,796283cf25f10a2779e76c8ff446245b173ce927,8bc565d357bf66e864193ceee109bc269472eaf0
Veldleeuwerik,jaarlijks,0.974,0.968,0.979,-2.6% (-3.2%; -2.1%),-31% (-37%; -25%),--,niet-lineair,5090f7aa1e1874ce51f4f076e8fbf6545ab15aae,34402bc7c3f72c7923451f6ae7e2683dc2b66d56
Vink,driejaarlijks,1.01,1.007,1.013,+1.029% (+0.739%; +1.319%),+15.4% (+10.9%; +20.1%),+~,niet-lineair,91a9a7dbc2439f0ce8379a876c04e95bdfa4bd48,90cd95a8f01f8f08b34930067805a71ca9b117ef
Vink,jaarlijks,1.01,1.008,1.013,+1.045% (+0.753%; +1.329%),+15.7% (+11.1%; +20.3%),+~,niet-lineair,ec0837575295e885faf14d2c0e28e57e6d199bd5,f0ec7a442e1333552fce49722494a22d77141df5
Waterhoen,driejaarlijks,0.969,0.96,0.979,-3.1% (-4.0%; -2.1%),-35% (-43%; -26%),--,niet-lineair,474179528588376bdbcf080edd3c5a8b998480d6,d4b2b6e80ef2cfb37beb20ef9a8fe972086a5887
Waterhoen,jaarlijks,0.97,0.961,0.979,-3.0% (-3.9%; -2.1%),-35% (-43%; -25%),--,niet-lineair,7fe7b02d3cb3e2db3c585c316030c27d297f73c6,455725c858d2a192abbcfc9a880e19f0fcafe5e6
Wielewaal,driejaarlijks,0.941,0.907,0.975,-5.9% (-9.3%; -2.5%),-58% (-74%; -30%),--,niet-lineair,68276b930bf3ef0194cadaf0b6d33d6dc11971ff,2a1964152e9f79759535633a2a2fb16d06b9fa74
Wielewaal,jaarlijks,0.941,0.908,0.974,-5.9% (-9.2%; -2.6%),-58% (-74%; -31%),--,niet-lineair,9bf025bba52f7244c8c74608cc944cdc36204715,11c3677474251cc3b73adf715f391639e321a35c
Wilde eend,driejaarlijks,0.972,0.965,0.979,-2.8% (-3.5%; -2.1%),-33% (-39%; -26%),--,lineair,21fc297f48e2712aa3d468c48246eedb8cb16db2,8d7d1b24387891a93bcade165670dffd4ae0f02f
Wilde eend,jaarlijks,0.973,0.966,0.979,-2.7% (-3.4%; -2.1%),-32% (-38%; -25%),--,niet-lineair,7de1b883adf8bb0b98c9d7be42198f518f5dd23f,50049682e276b70e8230e85a324aa2aa43744047
Winterkoning,driejaarlijks,0.99,0.987,0.993,-0.982% (-1.259%; -0.704%),-12.90% (-16.25%; -9.42%),-~,niet-lineair,59873f7d8035b2804f2391c507125e0bda3b71fa,b77bda49375323657975bae5905ca2ecac12815e
Winterkoning,jaarlijks,0.991,0.989,0.994,-0.866% (-1.143%; -0.598%),-11.47% (-14.87%; -8.06%),-~,niet-lineair,bc1854ceb3fee9954fee3603e743099f30870415,06846692fa819b1a951b84d9d30e64ad6c572fd4
Witte kwikstaart,driejaarlijks,1.016,1.009,1.023,+1.6% (+0.9%; +2.3%),+25% (+13%; +38%),+,niet-lineair,64303cbc269963f554229ab468d08982f1f8b6a3,b679bcd344b4242f5514f3017368c9cd08a0359c
Witte kwikstaart,jaarlijks,1.015,1.008,1.023,+1.5% (+0.8%; +2.3%),+24% (+12%; +37%),+,niet-lineair,bd54511f06bd115294c25d8fe192b6f0076b250c,2bf7636bea2a910547c27b305d711403a6f8efa4
Wulp,driejaarlijks,0.992,0.973,1.012,-0.8% (-2.7%; +1.2%),-11% (-32%; +17%),?-,niet-lineair,54f663012d773feea00cb33fff90ef962fe4db23,55e36e7d444e3d2334e55b2b6cc199a938dec108
Wulp,jaarlijks,0.994,0.975,1.013,-0.6% (-2.5%; +1.3%),-8% (-30%; +20%),?-,niet-lineair,a69645baa7b3f409f3691afacf873d2fdcfb1ebc,710054739ec5747fcd0e598e04c111938f1a0e28
Zanglijster,driejaarlijks,0.967,0.961,0.972,-3.3% (-3.9%; -2.8%),-37.9% (-42.4%; -33.0%),--,niet-lineair,c8e58f02e29db04956a603b990db7274503f8668,96eb774ab36646453a6606dddb12f14b7ab931f5
Zanglijster,jaarlijks,0.968,0.963,0.973,-3.2% (-3.7%; -2.7%),-36.7% (-41.3%; -31.9%),--,niet-lineair,466553c085b5de0b59d0b8133598afce0fa0c046,dd9b46a07de1169a0ff9b8a63e7f1f0aa55aaa66
Zilvermeeuw,driejaarlijks,0.961,0.925,0.999,-3.9% (-7.5%; -0.1%),-43% (-66%; -2%),-,niet-lineair,2f07377878fa0944c512fd2e96f58bc3ca5feacb,3cdf7e1fcf44ea5d47518652de6494c1aa29ea86
Zilvermeeuw,jaarlijks,0.967,0.93,1.004,-3.3% (-7.0%; +0.4%),-38% (-64%; +6%),?-,niet-lineair,21e98d0d64d4b185991649c5d50171b3eba4523e,502cb89a736798bd2be933775f89058d6cb9cc44
Zwarte kraai,driejaarlijks,1.015,1.012,1.019,+1.515% (+1.173%; +1.857%),+23% (+18%; +29%),+~,niet-lineair,930f83e50d74df0ec4d2162d3471488d749568db,9c1906475842e3f2e0af111842fb6dfe136456f1
Zwarte kraai,jaarlijks,1.015,1.011,1.018,+1.491% (+1.147%; +1.826%),+23% (+17%; +29%),+~,niet-lineair,eaf0deee54a1e613ecf08d172053a35c0ecbe424,c25d906a4ef7c8fb78b87a0869abd3ca4e271e54
Zwarte mees,driejaarlijks,0.925,0.9,0.952,-7.5% (-10.0%; -4.8%),-66% (-77%; -50%),--,lineair,4e2c92c4622f21f03e15d22238678f5deeb3a3fa,0c155b9c4a9de86827a0de54cfc0c1a650118d0f
Zwarte mees,jaarlijks,0.93,0.904,0.955,-7.0% (-9.6%; -4.5%),-64% (-76%; -47%),--,mogelijk niet-lineair,0ae1ccbc42880e02354ab33327e404d1b9642f94,4b2ab0b2034a4eb13d3a19902ddb11958cfce022
Zwarte roodstaart,driejaarlijks,1.02,1.01,1.03,+2.0% (+1.0%; +3.0%),+33% (+16%; +52%),+,niet-lineair,184d6963ddc872ae827884283ce94ac235b97274,426cb319be49944615b5d55df0500c3ad30b36f5
Zwarte roodstaart,jaarlijks,1.019,1.01,1.029,+1.9% (+1.0%; +2.9%),+31% (+15%; +50%),+,niet-lineair,d4a7db36166397e9a51ffc970c01efab2ece4d19,6b1cb538acbd70068b4ece7ef8cf2183a914ddc6
Zwarte specht,driejaarlijks,0.992,0.965,1.019,-0.8% (-3.5%; +1.9%),-11% (-39%; +30%),?-,niet-lineair,948e2d0bb86106f09a0a025e4bf4334acb12760a,e6fb4dabfeb3c60a73ddd90268971a94009ed0c2
Zwarte specht,jaarlijks,0.992,0.965,1.02,-0.8% (-3.5%; +2.0%),-11% (-39%; +31%),?-,niet-lineair,190204fbe49c75c3063439abf1d6749080e68437,92afeebf23ddf95af54f8ffb040adc6fb4edacac
Zwartkop,driejaarlijks,1.024,1.02,1.028,+2.42% (+1.99%; +2.85%),+40% (+32%; +48%),+,niet-lineair,ab64f01ffc9d10fbfca3666b3aa6f173deb46ea1,b7657ce6179ac5ae05f17c207c170d919148427f
Zwartkop,jaarlijks,1.025,1.02,1.029,+2.46% (+2.03%; +2.88%),+41% (+32%; +49%),+,niet-lineair,8cdda72d121b48d1136f35c5f89efe78a87e73ff,15d4431c16e76173d36d4c2d5385bb2fa6c14bc8
