soort,frequentie,schatting,lcl,ucl,jaarlijks,looptijd,klasse,verloop,analysis,status
Bruine kiekendief,driejaarlijks,1.007,0.976,1.038,+0.7% (-2.4%; +3.8%),+10% (-29%; +69%),?,lineair,bcf7f2313d1af8b53e79bdfe19e3e94162ac3101,f86514c4364f3e90e504a98644b6b215bc42b3b5
Bruine kiekendief,jaarlijks,1.005,0.975,1.036,+0.5% (-2.5%; +3.6%),+8% (-30%; +65%),?,lineair,6755d0e38b318e8030dd998d04cabbadfa2c803a,400b026febf555f88c8373ca58ef01acd01fcdee
Buizerd,driejaarlijks,1.041,1.031,1.051,+4.1% (+3.1%; +5.1%),+76.0% (+53.3%; +101.9%),++,niet-lineair,a1139aa35f2c0e3407bccacc0c9e7d169835e954,108473467c92f1b2bdc80aeab2f638601741307d
Buizerd,jaarlijks,1.041,1.031,1.051,+4.1% (+3.1%; +5.1%),+74.8% (+52.6%; +100.3%),++,niet-lineair,b74c21cf3fbbc2987c345de707b7d659cc6ad64f,b763cf6b4623ee51fb829f1723536f50097da57d
Canadese gans,driejaarlijks,1.02,1.008,1.033,+2.0% (+0.8%; +3.3%),+32% (+11%; +57%),+,lineair,613557925e81c2e09d9832e0910dd6a68d1a76af,b17f75c8e4692c355e94771b3ffc0f61c9105826
Canadese gans,jaarlijks,1.022,1.01,1.035,+2.2% (+1.0%; +3.5%),+36% (+14%; +62%),+,niet-lineair,ab5d0ccf8d2757056c3b6be863169bbc04a39957,50084e664b12587d0c40218ecc2fbb900899a25a
Cetti's zanger,driejaarlijks,1.139,1.087,1.194,+13.9% (+8.7%; +19.4%),+517% (+219%; +1091%),++,niet-lineair,e9bb25c1f4227ebbb68c8d3e338598527c1f533b,76ca391ef40e640b9144fea1927d67ee769bc7a2
Cetti's zanger,jaarlijks,1.131,1.08,1.185,+13.1% (+8.0%; +18.5%),+460% (+200%; +970%),++,niet-lineair,13abe1d5f133e7f30d37dcd52325b191788de5a4,66341a6573395d25b286d9b8ac0c2f5416bf2222
Dodaars,driejaarlijks,0.937,0.889,0.987,-6.33% (-11.10%; -1.30%),-60% (-81%; -17%),-,niet-lineair,b34f52b903a758e85d93886ed6884249a231eb2d,f4446c460073485bec6f5e78a6fffc8dc0a0d3f3
Dodaars,jaarlijks,0.935,0.887,0.985,-6.50% (-11.27%; -1.48%),-61% (-81%; -19%),-,niet-lineair,b5106574572523bf4deca363f0d5f70ae267a364,68f1c0c40f1e47e4d355a977fe0bce891f967912
