soort,frequentie,stratum,gewicht,aanwezig,relevant,onderzocht,totaal,bezoeken
Aalscholver,jaarlijks,Heide en duin,0.046,16.9,8,94,199,247
Aalscholver,jaarlijks,Landbouw,0.821,264.8,18,429,6311,587
Aalscholver,jaarlijks,Moeras en water,0.133,42.8,25,80,137,1024
Bergeend,jaarlijks,Bos,0.006,6.7,4,190,319,122
Bergeend,jaarlijks,Heide en duin,0.021,21.2,10,94,199,412
Bergeend,jaarlijks,Landbouw,0.904,809.1,55,429,6311,2352
Bergeend,jaarlijks,Moeras en water,0.046,41.1,24,80,137,858
Bergeend,jaarlijks,Suburbaan,0.023,23.6,8,68,201,256
Blauwborst,jaarlijks,Heide en duin,0.018,16.9,8,94,199,212
Blauwborst,jaarlijks,Landbouw,0.937,779.7,53,429,6311,2028
Blauwborst,jaarlijks,Moeras en water,0.031,25.7,15,80,137,656
Blauwborst,jaarlijks,Suburbaan,0.014,14.8,5,68,201,108
Blauwe reiger,jaarlijks,Bos,0.019,20.1,12,190,319,542
Blauwe reiger,jaarlijks,Heide en duin,0.028,29.6,14,94,199,369
Blauwe reiger,jaarlijks,Landbouw,0.904,970.9,66,429,6311,2583
Blauwe reiger,jaarlijks,Moeras en water,0.041,44.5,26,80,137,1242
Blauwe reiger,jaarlijks,Suburbaan,0.008,11.8,4,68,201,156
Boerenzwaluw,jaarlijks,Bos,0.005,21.8,13,190,319,293
Boerenzwaluw,jaarlijks,Heide en duin,0.012,50.8,24,94,199,585
Boerenzwaluw,jaarlijks,Landbouw,0.949,4089.6,278,429,6311,9374
Boerenzwaluw,jaarlijks,Moeras en water,0.011,46.2,27,80,137,692
Boerenzwaluw,jaarlijks,Suburbaan,0.009,41.4,14,68,201,208
Boerenzwaluw,jaarlijks,Urbaan,0.014,62.2,13,87,416,325
Bonte vliegenvanger,jaarlijks,Bos,0.601,31.9,19,190,319,387
Bonte vliegenvanger,jaarlijks,Heide en duin,0.399,21.2,10,94,199,399
Boomklever,jaarlijks,Bos,0.207,209.9,125,190,319,6943
Boomklever,jaarlijks,Heide en duin,0.071,72,34,94,199,1630
Boomklever,jaarlijks,Landbouw,0.58,588.4,40,429,6311,1400
Boomklever,jaarlijks,Moeras en water,0.034,34.2,20,80,137,745
Boomklever,jaarlijks,Suburbaan,0.047,47.3,16,68,201,691
Boomklever,jaarlijks,Urbaan,0.061,66.9,14,87,416,335
Boomkruiper,jaarlijks,Bos,0.111,204.8,122,190,319,7251
Boomkruiper,jaarlijks,Heide en duin,0.057,105.9,50,94,199,2420
Boomkruiper,jaarlijks,Landbouw,0.707,1309.3,89,429,6311,3463
Boomkruiper,jaarlijks,Moeras en water,0.025,46.2,27,80,137,1358
Boomkruiper,jaarlijks,Suburbaan,0.034,62.1,21,68,201,808
Boomkruiper,jaarlijks,Urbaan,0.067,124.3,26,87,416,763
Boomleeuwerik,jaarlijks,Bos,0.226,42,25,190,319,1384
Boomleeuwerik,jaarlijks,Heide en duin,0.501,93.1,44,94,199,2173
Boomleeuwerik,jaarlijks,Landbouw,0.237,58.8,4,429,6311,59
Boomleeuwerik,jaarlijks,Moeras en water,0.037,8.6,5,80,137,113
Boompieper,jaarlijks,Bos,0.268,95.7,57,190,319,2804
Boompieper,jaarlijks,Heide en duin,0.327,116.4,55,94,199,3183
Boompieper,jaarlijks,Landbouw,0.371,132.4,9,429,6311,430
Boompieper,jaarlijks,Moeras en water,0.034,12,7,80,137,297
Bosrietzanger,jaarlijks,Heide en duin,0.012,8.5,4,94,199,62
Bosrietzanger,jaarlijks,Landbouw,0.882,470.8,32,429,6311,663
Bosrietzanger,jaarlijks,Moeras en water,0.067,36,21,80,137,579
Bosrietzanger,jaarlijks,Suburbaan,0.039,20.7,7,68,201,137
Bruine kiekendief,jaarlijks,Landbouw,0.972,353.1,24,429,6311,959
Bruine kiekendief,jaarlijks,Moeras en water,0.028,12,7,80,137,249
Buizerd,jaarlijks,Bos,0.06,186.4,111,190,319,5144
Buizerd,jaarlijks,Heide en duin,0.027,84.7,40,94,199,1664
Buizerd,jaarlijks,Landbouw,0.888,2736.2,186,429,6311,8047
Buizerd,jaarlijks,Moeras en water,0.017,51.4,30,80,137,1175
Buizerd,jaarlijks,Suburbaan,0.008,26.6,9,68,201,220
Canadese gans,jaarlijks,Bos,0.016,26.9,16,190,319,545
Canadese gans,jaarlijks,Heide en duin,0.037,61.4,29,94,199,1250
Canadese gans,jaarlijks,Landbouw,0.867,1427,97,429,6311,4195
Canadese gans,jaarlijks,Moeras en water,0.043,70.2,41,80,137,1785
Canadese gans,jaarlijks,Suburbaan,0.02,32.5,11,68,201,452
Canadese gans,jaarlijks,Urbaan,0.017,33.5,7,87,416,118
Cetti's zanger,jaarlijks,Heide en duin,0.091,12.7,6,94,199,120
Cetti's zanger,jaarlijks,Landbouw,0.761,103,7,429,6311,225
Cetti's zanger,jaarlijks,Moeras en water,0.148,17.1,10,80,137,347
Dodaars,jaarlijks,Bos,0.091,11.8,7,190,319,173
Dodaars,jaarlijks,Heide en duin,0.248,27.5,13,94,199,427
Dodaars,jaarlijks,Landbouw,0.398,58.8,4,429,6311,76
Dodaars,jaarlijks,Moeras en water,0.263,29.1,17,80,137,551
Ekster,jaarlijks,Bos,0.013,67.2,40,190,319,1929
Ekster,jaarlijks,Heide en duin,0.015,78.3,37,94,199,1466
Ekster,jaarlijks,Landbouw,0.857,4501.6,306,429,6311,16675
Ekster,jaarlijks,Moeras en water,0.018,92.5,54,80,137,2679
Ekster,jaarlijks,Suburbaan,0.032,168.5,57,68,201,3219
Ekster,jaarlijks,Urbaan,0.066,344.3,72,87,416,4401
Fazant,jaarlijks,Bos,0.014,63.8,38,190,319,2024
Fazant,jaarlijks,Heide en duin,0.017,78.3,37,94,199,1751
Fazant,jaarlijks,Landbouw,0.933,4177.9,284,429,6311,15569
Fazant,jaarlijks,Moeras en water,0.015,68.5,40,80,137,2125
Fazant,jaarlijks,Suburbaan,0.011,47.3,16,68,201,600
Fazant,jaarlijks,Urbaan,0.01,47.8,10,87,416,307
Fitis,jaarlijks,Bos,0.146,100.7,60,190,319,3092
Fitis,jaarlijks,Heide en duin,0.234,160.9,76,94,199,4055
Fitis,jaarlijks,Landbouw,0.492,338.4,23,429,6311,914
Fitis,jaarlijks,Moeras en water,0.067,46.2,27,80,137,1542
Fitis,jaarlijks,Suburbaan,0.06,41.4,14,68,201,380
Fuut,jaarlijks,Bos,0.054,11.8,7,190,319,143
Fuut,jaarlijks,Heide en duin,0.102,19.1,9,94,199,176
Fuut,jaarlijks,Landbouw,0.47,88.3,6,429,6311,154
Fuut,jaarlijks,Moeras en water,0.374,70.2,41,80,137,1538
Gaai,jaarlijks,Bos,0.065,225,134,190,319,7544
Gaai,jaarlijks,Heide en duin,0.036,124.9,59,94,199,2985
Gaai,jaarlijks,Landbouw,0.797,2765.7,188,429,6311,8069
Gaai,jaarlijks,Moeras en water,0.022,77.1,45,80,137,2175
Gaai,jaarlijks,Suburbaan,0.024,82.8,28,68,201,1178
Gaai,jaarlijks,Urbaan,0.056,196,41,87,416,1631
Geelgors,jaarlijks,Bos,0.007,8.4,5,190,319,239
Geelgors,jaarlijks,Heide en duin,0.018,16.9,8,94,199,359
Geelgors,jaarlijks,Landbouw,0.967,897.4,61,429,6311,2698
Geelgors,jaarlijks,Moeras en water,0.007,6.8,4,80,137,112
Gekraagde roodstaart,jaarlijks,Bos,0.18,47,28,190,319,946
Gekraagde roodstaart,jaarlijks,Heide en duin,0.292,76.2,36,94,199,1176
Gekraagde roodstaart,jaarlijks,Landbouw,0.508,147.1,10,429,6311,267
Gekraagde roodstaart,jaarlijks,Moeras en water,0.02,6.8,4,80,137,101
Gele kwikstaart,jaarlijks,Landbouw,0.995,2589.1,176,429,6311,7566
Gele kwikstaart,jaarlijks,Moeras en water,0.005,13.7,8,80,137,283
